0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,"Fla. Atlantic @ Coral Gables, Fla.",W 3 - 0,,3,1,8,2,22,0.273,2,1,,5,1,,3,1,10.5,,
08/24/2018,"UCF @ Coral Gables, Fla.",L 1 - 3,,4,1,13,11,52,0.038,,,1,15,1,,1,,13.5,,
08/25/2018,@ Miami (FL),W 3 - 0,,3,1,10,1,20,0.450,1,1,2,8,,,2,,12.0,,
08/31/2018,"New Mexico St. @ Albuquerque, N.M.",W 3 - 0,,3,1,8,6,18,0.111,,,1,3,,,1,,8.5,,
08/31/2018,@ New Mexico,L 1 - 3,,1,1,2,1,4,0.250,,,,2,,,,,2.0,,
09/01/2018,"Eastern Ky. @ Albuquerque, N.M.",W 3 - 0,,,,,,,,,,,,,,,,,,
09/07/2018,Albany (NY),L 2 - 3,,,,,,,,,,,,,,,,,,
09/08/2018,West Virginia,L 2 - 3,,,,,,,,,,,,,,,,,,
09/08/2018,Western Ill.,W 3 - 0,,,,,,,,,,,,,,,,,,
09/14/2018,"Yale @ Orlando, Fla.",W 3 - 1,,,,,,,,,,,,,,,,,,
09/14/2018,@ UCF,L 0 - 3,,,,,,,,,,,,,,,,,,
09/15/2018,"Alabama St. @ Orlando, Fla.",W 3 - 0,,,,,,,,,,,,,,,,,,
09/21/2018,@ Jacksonville,W 3 - 0,,,,,,,,,,,,,,,,,,
09/22/2018,@ North Florida,W 3 - 0,,,,,,,,,,,,,,,,,,
09/28/2018,@ NJIT,W 3 - 0,,,,,,,,,,,,,,,,,,
09/30/2018,@ North Ala.,W 3 - 0,,,,,,,,,,,,,,,,,,
10/05/2018,Kennesaw St.,L 1 - 3,,,,,,,,,,,,,,,,,,
10/07/2018,Lipscomb,W 3 - 1,,,,,,,,,,,,,,,,,,
10/09/2018,Stetson,W 3 - 0,,,,,,,,,,,,,,,,,,
10/12/2018,@ Liberty,W 3 - 2,,,,,,,,,,,,,,,,,,
10/16/2018,@ Bethune-Cookman,W 3 - 0,,,,,,,,,,,,,,,,,,
10/19/2018,North Florida,W 3 - 0,,,,,,,,,,,,,,,,,,
10/21/2018,Jacksonville,W 3 - 0,,,,,,,,,,,,,,,,,,
10/23/2018,FIU,W 3 - 0,,,,,,,,,,,,,,,,,,
10/26/2018,North Ala.,W 3 - 0,,,,,,,,,,,,,,,,,,
10/28/2018,NJIT,W 3 - 0,,,,,,,,,,,,,,,,,,
11/02/2018,@ Lipscomb,W 3 - 0,,,,,,,,,,,,,,,,,,
11/04/2018,@ Kennesaw St.,W 3 - 1,,,,,,,,,,,,,,,,,,
11/06/2018,@ Stetson,W 3 - 1,,,,,,,,,,,,,,,,,,
11/10/2018,Liberty,W 3 - 1,,,,,,,,,,,,,,,,,,
11/16/2018,"Liberty @ Kennesaw, Ga.",W 3 - 0,,,,,,,,,,,,,,,,,,
11/17/2018,"Kennesaw St. @ Kennesaw, Ga.",W 3 - 2,,,,,,,,,,,,,,,,,,
11/29/2018,@ UCF,W 3 - 2,,,,,,,,,,,,,,,,,,
11/30/2018,"Florida @ Orlando, Fla.",L 0 - 3,,,,,,,,,,,,,,,,,,
