0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,"Marshall @ Bloomington, Ind.",L 0 - 3,3,1,0,0,0,,2,,,10,2,,,,,,
08/27/2016,"Northern Ky. @ Bloomington, Ind.",L 0 - 3,3,1,0,0,0,,3,1,,10,2,,,,1.0,,
08/27/2016,@ Indiana,L 0 - 3,3,1,0,0,0,,,,,9,4,,,,,,
09/03/2016,"Green Bay @ Edwardsville, Ill.",L 0 - 3,3,1,0,0,0,,5,,1,15,4,,,,,,
09/03/2016,@ SIUE,L 0 - 3,3,1,0,0,4,,3,1,1,9,4,,,,1.0,,
09/05/2016,Southeast Mo. St.,W 3 - 2,5,1,1,0,1,1.000,,3,2,6,1,,,,4.0,,
09/09/2016,Austin Peay,L 0 - 3,3,1,0,0,0,,,,1,3,2,,,,,,
09/10/2016,Kent St.,W 3 - 2,5,1,0,1,1,-1.000,5,,1,15,2,,,,,,
09/10/2016,Dayton,L 0 - 3,3,1,0,0,1,,,1,1,6,,,,,1.0,,
09/16/2016,"Kennesaw St. @ Jacksonville, Ala.",L 0 - 3,3,1,1,0,1,1.000,1,,,20,4,,,,1.0,,
09/16/2016,"ULM @ Jacksonville, Ala.",W 3 - 2,5,1,0,0,0,,2,1,,12,3,,,,1.0,,
09/17/2016,"Nicholls St. @ Jacksonville, Ala.",W 3 - 1,4,1,0,0,1,,2,1,,17,,,,,1.0,,
09/17/2016,@ Jacksonville St.,L 2 - 3,5,1,0,0,0,,2,2,1,16,2,,,,2.0,,
09/23/2016,Drake,L 2 - 3,5,1,0,0,0,,3,,1,22,1,,,,,1,
09/24/2016,UNI,L 0 - 3,3,1,0,1,1,-1.000,2,,1,5,4,,,,,,
09/26/2016,@ Wichita St.,L 0 - 3,3,1,0,0,0,,1,1,1,14,1,,,,1.0,,
09/30/2016,@ Loyola Chicago,L 0 - 3,2,1,0,0,0,,1,,1,4,2,,,,,,
10/01/2016,@ Bradley,L 0 - 3,3,1,0,0,0,,2,,,10,3,,,,,,
10/07/2016,Illinois St.,L 0 - 3,3,1,0,1,1,-1.000,1,,1,10,2,,,,,,
10/08/2016,Indiana St.,L 2 - 3,5,1,0,0,0,,4,3,,17,1,,,,3.0,,
10/10/2016,@ Missouri St.,L 0 - 3,3,1,0,0,0,,,1,,6,,,,,1.0,,
10/15/2016,@ Southern Ill.,L 0 - 3,3,1,0,0,0,,1,4,2,10,1,,,,4.0,,
10/21/2016,@ UNI,L 0 - 3,3,1,0,0,0,,2,,1,6,1,,,,,,
10/22/2016,@ Drake,L 1 - 3,4,1,0,0,0,,4,1,1,17,,,,,1.0,,
10/28/2016,Bradley,W 3 - 2,5,1,0,0,0,,4,,1,13,,,,,,,
10/29/2016,Loyola Chicago,L 2 - 3,5,1,1,0,1,1.000,3,1,1,17,5,,,,2.0,,
11/04/2016,@ Indiana St.,L 0 - 3,3,1,0,0,1,,,,1,10,2,,,,,,
11/05/2016,@ Illinois St.,L 0 - 3,1,1,0,0,0,,,1,,9,,,,,1.0,,
11/11/2016,Southern Ill.,L 2 - 3,2,1,0,0,1,,,,,,,,,,,,
11/18/2016,Missouri St.,L 0 - 3,,,,,,,,,,,,,,,,,
11/19/2016,Wichita St.,L 0 - 3,,,,,,,,,,,,,,,,,
