Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"Virginia Tech @ Oxford, OH",L 1 - 3,4.0,0.0,4.0,9.0,-0.444,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0
8302019,"Northwestern @ Oxford, OH",L 0 - 3,3.0,0.0,2.0,7.5,-0.222,0.0,0.5,3.0,3.5,0.5,0.0,0.0,0.0,0.5
8312019,@ Miami (OH),L 0 - 3,3.0,0.6666666666666666,2.6666666666666665,8.333333333333334,-0.21466666666666667,0.3333333333333333,0.3333333333333333,2.3333333333333335,5.666666666666667,0.6666666666666666,0.0,0.3333333333333333,0.0,1.1666666666666667
9032019,Limestone,L 2 - 3,0.0,0.5,2.0,6.25,-0.161,0.25,0.25,1.75,4.25,0.5,0.0,0.25,0.0,0.875
9072019,Ga. Southern,L 0 - 3,0.0,0.4,1.6,5.0,-0.1288,0.2,0.2,1.4,3.4,0.4,0.0,0.2,0.0,0.7
9102019,Tusculum,L 2 - 3,0.0,0.3333333333333333,1.3333333333333333,4.166666666666667,-0.10733333333333334,0.16666666666666666,0.16666666666666666,1.1666666666666667,2.8333333333333335,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5833333333333334
9132019,"Norfolk St. @ Greenville, N.C.",W 3 - 2,0.0,0.2857142857142857,1.1428571428571428,3.5714285714285716,-0.092,0.14285714285714285,0.14285714285714285,1.0,2.4285714285714284,0.2857142857142857,0.0,0.14285714285714285,0.0,0.5
9142019,"George Washington @ Greenville, N.C.",L 0 - 3,0.0,0.25,1.0,3.125,-0.0805,0.125,0.125,0.875,2.125,0.25,0.0,0.125,0.0,0.4375
9142019,@ East Carolina,L 2 - 3,0.0,0.2222222222222222,0.8888888888888888,2.7777777777777777,-0.07155555555555555,0.1111111111111111,0.1111111111111111,0.7777777777777778,1.8888888888888888,0.2222222222222222,0.0,0.1111111111111111,0.0,0.3888888888888889
9172019,@ N.C. A&T,W 3 - 1,0.0,0.2,0.8,2.5,-0.0644,0.1,0.1,0.7,1.7,0.2,0.0,0.1,0.0,0.35
9202019,Alabama A&M,W 3 - 1,0.0,0.2,0.4,1.6,-0.02,0.1,0.1,0.2,1.3,0.1,0.0,0.1,0.0,0.35
9282019,@ UNC Asheville,L 1 - 3,0.0,0.2,0.4,1.0,-0.02,0.1,0.0,0.1,1.0,0.1,0.0,0.1,0.0,0.25
10042019,Gardner-Webb,W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10052019,Winthrop,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10082019,@ South Carolina St.,3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10112019,@ Campbell,L 2 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10122019,@ Hampton,W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10192019,UNC Asheville,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10222019,@ Limestone,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10252019,@ Radford,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10262019,@ High Point,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11012019,Presbyterian,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11022019,Charleston So.,W 3 - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11082019,@ Winthrop,L 2 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11092019,@ Gardner-Webb,W 3 - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11152019,Hampton,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11162019,Campbell,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8242018,"Virginia Tech @ Charlotte, N.C.",L 0 - 3,2.0,0.1,0.4,0.8,-0.0375,0.0,0.2,0.1,0.2,0.0,0.0,0.1,0.0,0.35
8252018,"Elon @ Charlotte, N.C.",L 2 - 3,1.0,0.1,0.4,0.8,-0.0375,0.0,0.2,0.2,0.3,0.0,0.0,0.1,0.0,0.35
8252018,@ Charlotte,L 1 - 3,4.0,0.6,0.8,2.8,-0.0325,0.0,0.3,0.4,0.8,0.3,0.0,0.2,0.0,1.0
8312018,@ Tennessee Tech,L 0 - 3,3.0,1.4,1.0,4.7,-0.0009000000000000008,0.0,0.3,0.5,1.2,0.3,0.0,0.4,0.0,1.9
9012018,"East Carolina @ Cookeville, Tenn.",L 0 - 3,3.0,2.0,1.7,7.7,-0.004200000000000001,0.2,0.3,0.6,1.7,0.4,0.0,0.4,0.0,2.5
9012018,"New Orleans @ Cookeville, Tenn.",L 2 - 3,5.0,3.3,2.5,11.4,0.0093,0.6,0.3,0.8,2.4,0.5,0.0,0.4,0.0,3.8
9052018,N.C. A&T,W 3 - 0,3.0,4.2,2.8,13.2,0.04259999999999999,0.7,0.3,0.9,3.2,0.5,0.0,0.7,0.0,4.85
9072018,"Furman @ Jacksonville, Fla.",L 1 - 3,4.0,5.0,3.3,15.8,0.054099999999999995,0.7,0.3,0.9,3.5,0.6,0.1,0.7,0.1,5.75
