0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/25/2017,Tulsa,W 3 - 1,4,,58,17,139,0.295,52,9,10,50,7,4,14,3,78.0,,
08/26/2017,Texas Tech,L 1 - 3,4,,54,27,157,0.172,53,,8,51,4,2,26,2,69.0,1,
08/26/2017,Montana,W 3 - 0,3,,51,22,108,0.269,47,6,4,38,2,1,14,1,65.0,1,
09/01/2017,"Princeton @ Chestnut Hill, Mass.",W 3 - 1,4,,62,16,156,0.295,57,3,6,73,6,3,16,,76.0,,
09/01/2017,"Bryant @ Chestnut Hill, Mass.",W 3 - 0,3,,48,12,128,0.281,44,2,6,61,2,,14,3,57.0,2,
09/02/2017,@ Boston College,W 3 - 1,4,,59,13,142,0.324,54,3,7,60,3,1,22,4,74.0,1,
09/08/2017,Oregon St.,W 3 - 0,3,,53,16,108,0.343,51,3,4,41,2,3,8,1,63.0,,
09/09/2017,Campbell,W 3 - 0,3,,43,16,109,0.248,41,8,3,45,1,2,10,1,58.0,1,
09/09/2017,New Orleans,W 3 - 0,3,,42,12,87,0.345,39,8,5,41,6,,8,,54.0,,
09/13/2017,Abilene Christian,W 3 - 0,3,,47,7,83,0.482,44,11,8,36,1,2,4,1,62.0,1,
09/15/2017,@ Mississippi St.,W 3 - 0,3,,42,11,99,0.313,39,6,7,52,,3,8,,55.0,,
09/15/2017,"Southeastern La. @ Starkville, Miss.",W 3 - 1,4,,58,19,127,0.307,55,7,9,53,2,,14,1,72.0,,
09/16/2017,Jackson St.,W 3 - 0,3,,43,10,99,0.333,40,8,3,52,3,2,6,2,56.0,,
09/22/2017,@ Southern Miss.,L 2 - 3,5,,65,20,181,0.249,64,2,6,75,3,8,10,2,80.0,,
09/24/2017,@ FIU,W 3 - 0,3,,45,11,102,0.333,44,4,3,53,2,,14,,56.0,,
09/27/2017,Oklahoma,W 3 - 0,3,,41,17,100,0.240,35,4,4,37,2,2,14,1,54.0,,
09/29/2017,UTSA,W 3 - 1,4,,53,17,139,0.259,51,7,6,44,4,3,14,3,70.0,,
10/01/2017,Louisiana Tech,W 3 - 0,3,,49,14,91,0.385,44,8,4,36,,,10,,62.0,,
10/06/2017,UAB,W 3 - 0,3,,43,7,83,0.434,35,7,5,29,2,2,8,,56.0,,
10/13/2017,@ UTEP,W 3 - 1,4,,65,18,140,0.336,60,4,13,65,5,2,8,4,75.0,,
10/15/2017,@ Fla. Atlantic,W 3 - 1,4,,65,16,165,0.297,62,7,6,64,1,2,24,1,86.0,1,
10/22/2017,@ Charlotte,W 3 - 2,5,,80,27,194,0.273,79,2,10,86,3,1,12,2,89.0,,
10/27/2017,Rice,W 3 - 1,4,,69,22,172,0.273,66,7,10,77,5,3,8,,83.0,,
10/29/2017,Southern Miss.,W 3 - 2,5,,65,13,135,0.385,60,6,7,48,6,7,18,1,87.0,1,
11/03/2017,@ Marshall,W 3 - 0,3,,41,13,90,0.311,38,8,5,39,2,1,4,,52.0,,
11/05/2017,@ Louisiana Tech,W 3 - 0,3,,49,11,128,0.297,43,4,9,53,2,2,8,1,59.0,1,
11/09/2017,Western Ky.,W 3 - 2,5,,66,23,168,0.256,60,6,7,51,6,2,16,2,82.0,2,
11/11/2017,Middle Tenn.,W 3 - 0,3,,44,2,70,0.600,38,4,8,25,1,1,6,,52.0,,
11/17/2017,"Marshall @ Bowling Green, Ky.",W 3 - 1,4,,63,20,137,0.314,61,7,4,58,3,1,18,3,80.0,2,
11/18/2017,"UTSA @ Bowling Green, Ky.",W 3 - 1,4,,68,18,188,0.266,63,3,10,90,4,,12,2,77.0,2,
11/19/2017,@ Western Ky.,L 1 - 3,4,,50,30,146,0.137,43,7,6,59,4,1,10,2,63.0,3,
11/30/2017,Oral Roberts,W 3 - 1,4,,55,16,140,0.279,49,5,14,54,3,4,12,2,70.0,,
12/01/2017,TCU,L 2 - 3,5,,64,30,178,0.191,60,4,9,70,7,1,12,,75.0,,
