0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,"Chattanooga @ Knoxville, TN",L 0 - 3,,1,1,0,0,0,,,,,,,,,,,,
08/25/2018,"Michigan St. @ Knoxville, Tenn.",L 1 - 3,,4,1,0,0,1,,6,1,1,16,3,,,,1.0,,
08/25/2018,@ Tennessee,L 0 - 3,,1,1,0,0,1,,,,1,,1,,,,,,
08/26/2018,Iowa,L 0 - 3,,,,,,,,,,,,,,,,,,
08/28/2018,@ Western Ky.,L 0 - 3,,2,1,0,0,0,,,,2,2,,,,,,,
08/31/2018,"UMBC @ Nashville, Tenn.",L 2 - 3,,3,1,0,0,0,,,,1,3,,,,,,,
08/31/2018,Tulsa,L 0 - 3,,2,1,0,0,0,,,,,7,1,,,,,,
09/01/2018,ETSU,L 0 - 3,,1,1,0,0,0,,,,1,,,,,,,,
09/11/2018,@ Lipscomb,L 0 - 3,,1,1,0,0,0,,,,1,,,,,,,,
09/14/2018,"Sam Houston St. @ Arlington, Texas",L 0 - 3,,,,,,,,,,,,,,,,,,
09/14/2018,"Grand Canyon @ Arlington, Texas",L 0 - 3,,,,,,,,,,,,,,,,,,
09/15/2018,@ UT Arlington,L 0 - 3,,1,1,0,0,0,,,,1,,,,,,,,
09/18/2018,@ Tennessee St.,L 1 - 3,,4,1,0,0,0,,1,,1,10,1,,,,,,
09/22/2018,SIUE,L 0 - 3,,2,1,0,0,0,,1,,,4,,,,,,,
09/28/2018,@ Tennessee Tech,L 2 - 3,,,,,,,,,,,,,,,,,,
09/29/2018,@ Jacksonville St.,L 1 - 3,,2,1,0,0,0,,,,2,,1,,,,,,
10/05/2018,Morehead St.,L 0 - 3,,1,1,0,0,0,,,,,1,,,,,,,
10/06/2018,Eastern Ky.,W 3 - 1,,,,,,,,,,,,,,,,,,
10/12/2018,Austin Peay,W 3 - 2,,,,,,,,,,,,,,,,,,
10/13/2018,Murray St.,L 1 - 3,,2,1,0,0,0,,,,,,,,,,,,
10/19/2018,@ Southeast Mo. St.,L 0 - 3,,,,,,,,,,,,,,,,,,
10/20/2018,@ UT Martin,L 0 - 3,,3,1,0,1,3,-0.333,,,,5,1,,,,,,
10/23/2018,Tennessee St.,W 3 - 2,,,,,,,,,,,,,,,,,,
10/27/2018,@ Eastern Ill.,W 3 - 1,,,,,,,,,,,,,,,,,,
11/02/2018,Jacksonville St.,W 3 - 2,,,,,,,,,,,,,,,,,,
11/03/2018,Tennessee Tech,L 2 - 3,,2,1,0,0,0,,,,,,,,,,,,
11/09/2018,@ Eastern Ky.,L 1 - 3,,2,1,0,0,0,,,,,2,,,,,,,
11/10/2018,@ Morehead St.,L 0 - 3,,3,1,0,0,0,,,2,,,,,,,2.0,,
