0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,@ St. John's (NY),L 2 - 3,,5,1,0,0,0,,5,1,1,26,1,,,,1.0,,
08/24/2018,"Eastern Mich. @ St. Johns, NY",L 0 - 3,,2,1,0,0,1,,,,2,8,,,,,,,
08/25/2018,@ Manhattan,W 3 - 0,,1,1,0,0,0,,1,1,,1,2,,,,1.0,,
08/25/2018,"Fordham @ Queens, N.Y.",L 1 - 3,,1,1,0,0,0,,,,,1,,,,,,,
08/29/2018,@ Hartford,L 0 - 3,,3,1,0,0,0,,1,,,13,3,,,,,,
08/31/2018,@ Quinnipiac,W 3 - 0,,3,1,0,0,0,,3,3,,13,1,,,,3.0,,
09/01/2018,@ Yale,L 0 - 3,,3,1,0,0,0,,1,,,9,3,,,,,,
09/07/2018,"Harvard @ Fairfield, Conn.",L 2 - 3,,5,1,1,0,1,1.000,2,,1,20,5,,,,1.0,,
09/08/2018,"Northeastern @ Fairfield, Conn.",L 1 - 3,,4,1,1,0,1,1.000,1,,1,17,5,,,,1.0,,
09/08/2018,"Michigan St. @ Fairfield, Conn.",L 0 - 3,,3,1,0,0,0,,1,1,1,6,1,,,,1.0,,
09/12/2018,@ Iona,W 3 - 1,,4,1,1,0,1,1.000,5,,,27,1,,,,1.0,,
09/21/2018,Robert Morris,W 3 - 0,,3,1,0,0,1,,4,1,,12,1,,,,1.0,,
09/22/2018,Saint Francis (PA),W 3 - 1,,4,1,1,0,1,1.000,5,2,2,18,,,,,3.0,,
09/28/2018,@ St. Francis Brooklyn,W 3 - 0,,3,1,0,0,1,,,,,7,3,,,1,,,
09/29/2018,@ LIU,L 1 - 3,,4,1,0,0,1,,2,,,7,1,,,,,,
10/05/2018,Fairleigh Dickinson,W 3 - 0,,2,1,0,0,0,,1,,,2,,,,,,,
10/06/2018,Sacred Heart,W 3 - 1,,4,1,0,0,0,,2,,,6,,,,,,,
10/12/2018,Bryant,L 0 - 3,,3,1,1,0,3,0.333,,,,10,1,,,,1.0,,
10/19/2018,@ Robert Morris,W 3 - 1,,4,1,0,0,4,,3,,,8,1,,,,,,
10/20/2018,@ Saint Francis (PA),W 3 - 2,,5,1,0,0,0,,1,,,10,2,,,,,,
10/27/2018,@ Bryant,L 1 - 3,,4,1,0,0,1,,2,,,15,,,,,,,
11/02/2018,@ Fairleigh Dickinson,W 3 - 0,,3,1,0,0,3,,6,1,1,15,1,,,,1.0,,
11/03/2018,@ Sacred Heart,L 0 - 3,,3,1,1,0,1,1.000,,,,17,2,,,,1.0,,
11/09/2018,St. Francis Brooklyn,W 3 - 0,,3,1,0,0,0,,3,1,,5,3,,,,1.0,,
11/10/2018,LIU,W 3 - 1,,4,1,0,0,0,,1,2,,10,,,,,2.0,1,
11/16/2018,@ Bryant,L 2 - 3,,5,1,1,0,3,0.333,,,,21,,,,,1.0,,
