Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,@ Charlotte,L 0 - 3,3.0,6,7,34,-0.029,0,0,0,7,1,0,0,0,6.0
8302019,"Eastern Ky. @ Charlotte, N.C.",L 1 - 3,4.0,7,4,39,0.077,3,3,0,17,3,0,1,0,10.5
8312019,"Kent St. @ Charlotte, N.C.",L 0 - 3,3.0,7,5,29,0.069,0,0,1,2,3,0,0,0,7.0
9062019,@ Memphis,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9062019,"UT Martin @ Memphis, TN",L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9072019,"Ark.-Pine Bluff @ Memphis, TN",W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9132019,"Alabama A&M @ Spartanburg, SC",L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9132019,"N.C. A&T @ Spartanburg, SC",L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9142019,@ Wofford,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9202019,East Carolina,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9212019,Alabama A&M,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9272019,Charleston So.,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9282019,Presbyterian,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10042019,@ USC Upstate,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10052019,@ UNC Asheville,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10112019,Winthrop,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10182019,Radford,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10192019,High Point,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10252019,@ Charleston So.,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10262019,@ Presbyterian,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11012019,@ Campbell,L 1 - 3,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11022019,@ Hampton,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11082019,UNC Asheville,L 0 - 3,3.0,9,2,20,0.35,1,0,2,8,2,0,0,0,9.0
11092019,USC Upstate,L 1 - 3,4.0,8,8,37,0.0,1,1,2,4,2,0,0,0,9.0
11152019,@ Winthrop,L 0 - 3,3.0,9,3,23,0.261,0,0,0,0,3,0,0,0,9.0
8242018,"Jackson St. @ Cartersville, Ga.",W 3 - 2,5.0,14,4,30,0.333,1,0,0,2,1,0,3,0,15.5
8252018,"Alabama St. @ Emerson, Ga.",L 1 - 3,1.0,1,2,5,-0.2,0,0,0,1,0,0,0,0,1.0
8252018,"Alabama A&M @ Emerson, Ga.",W 3 - 2,3.0,4,3,13,0.077,0,0,0,3,1,0,1,0,4.5
