Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"Albany (NY) @ Omaha, NE",W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
8302019,@ Omaha,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
8312019,"Abilene Christian @ Omaha, NE",W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9032019,Utah Valley,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9062019,"Robert Morris @ Kent, OH",L 0 - 3,1.0,0,0,2,0.0,5,0,0,0,0,0,0,0,0.0
9062019,"Valparaiso @ Kent, OH",L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9072019,@ Kent St.,L 1 - 3,4.0,0,0,2,0.0,33,0,0,9,0,0,3,1,1.5
9132019,@ Washington St.,L 0 - 3,3.0,0,0,1,0.0,25,0,0,4,0,0,0,0,0.0
9132019,"Liberty @ Pullman, WA",L 0 - 3,2.0,1,0,2,0.5,11,0,0,0,0,0,0,0,1.0
9142019,"UT Arlington @ Pullman, WA",L 2 - 3,5.0,0,1,8,-0.125,47,0,0,14,0,0,3,0,1.5
9192019,@ Boise St.,L 0 - 3,3.0,2,0,5,0.4,30,0,1,8,0,0,0,0,2.0
9202019,"UC Irvine @ Boise, ID",L 1 - 3,4.0,1,0,2,0.5,30,0,1,5,0,0,1,1,1.5
9262019,@ Southern Utah,W 3 - 0,3.0,0,0,1,0.0,34,0,0,12,0,0,2,0,1.0
9282019,@ Northern Ariz.,L 1 - 3,4.0,1,0,1,1.0,37,0,2,11,0,1,0,0,2.0
10012019,Weber St.,L 2 - 3,5.0,2,0,8,0.25,34,1,1,9,0,0,4,0,5.0
10042019,Northern Colo.,L 1 - 3,4.0,0,0,0,0.0,12,1,1,5,0,0,0,0,1.0
10102019,Sacramento St.,L 2 - 3,5.0,0,1,4,-0.25,23,0,0,11,0,0,0,0,0.0
10122019,Portland St.,W 3 - 2,5.0,0,0,2,0.0,29,1,0,7,0,1,0,0,2.0
10172019,@ Montana,W 3 - 0,3.0,0,0,0,0.0,22,0,2,2,0,0,0,0,0.0
10192019,@ Montana St.,L 1 - 3,4.0,0,0,1,0.0,19,0,0,11,0,0,0,0,0.0
10242019,Eastern Wash.,L 0 - 3,3.0,0,0,2,0.0,18,0,1,6,0,0,0,0,0.0
10262019,@ Idaho,L 0 - 3,3.0,0,1,1,-1.0,15,2,1,7,0,0,0,0,2.0
10312019,Northern Ariz.,L 1 - 3,4.0,0,0,2,0.0,20,1,1,5,0,0,0,0,1.0
11022019,Southern Utah,L 2 - 3,5.0,1,1,6,0.0,39,1,1,13,0,0,0,0,2.0
11052019,@ Weber St.,L 1 - 3,4.0,0,0,0,0.0,38,1,1,10,0,0,1,0,1.5
11092019,@ Northern Colo.,L 2 - 3,5.0,3,0,7,0.429,45,0,0,10,0,0,4,0,5.0
11142019,@ Portland St.,W 3 - 2,5.0,0,2,6,-0.333,43,1,0,9,0,0,6,1,4.0
11162019,@ Sacramento St.,L 0 - 3,3.0,0,1,3,-0.333,29,1,0,9,0,0,1,0,1.5
11212019,Montana St.,L 0 - 3,3.0,2,1,3,0.333,25,0,1,6,0,0,0,0,2.0
11232019,Montana,L 1 - 3,4.0,1,0,6,0.16699999999999998,51,0,1,8,0,1,2,0,3.0
