Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,@ Utah,L 0 - 3,3.0,2,0,6,0.333,0,0,0,1,0,0,3,0,3.5
8302019,Cal Poly @ Salt Lake City,W 3 - 0,3.0,5,2,14,0.214,0,0,0,0,0,0,1,0,5.5
8312019,Kentucky @ Salt Lake City,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9052019,@ Southern Utah,L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9062019,"Boise St. @ Cedar City, UT",L 2 - 3,1.0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0
9072019,"Middle Tenn. @ Cedar City, UT",W 3 - 1,4.0,8,1,19,0.368,0,0,0,1,0,0,3,1,9.5
9132019,Cornell,W 3 - 2,3.0,1,1,8,0.0,1,0,0,1,0,1,4,1,4.0
9142019,Utah St.,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9192019,@ California,L 0 - 3,1.0,3,0,7,0.429,0,0,0,1,0,0,1,1,3.5
9212019,California,L 1 - 3,4.0,8,2,17,0.353,1,0,0,2,0,0,4,1,10.0
9272019,Pacific,L 2 - 3,2.0,1,1,5,0.0,0,0,0,0,0,2,2,1,4.0
10012019,@ Santa Clara,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10032019,San Diego,L 0 - 3,3.0,4,1,9,0.333,0,0,0,0,0,0,2,2,5.0
10052019,BYU,L 0 - 3,3.0,2,1,5,0.2,0,0,0,0,0,0,1,0,2.5
10102019,@ Gonzaga,W 3 - 1,4.0,7,2,15,0.333,0,0,0,0,0,1,6,0,11.0
10122019,@ Portland,W 3 - 1,1.0,0,0,1,0.0,0,0,0,0,0,0,1,0,0.5
10172019,LMU (CA),L 2 - 3,5.0,11,3,21,0.381,0,0,0,1,1,0,8,1,15.0
10192019,Pepperdine,W 3 - 1,4.0,7,2,11,0.455,0,0,0,0,0,0,4,0,9.0
10242019,Santa Clara,L 1 - 3,4.0,5,2,12,0.25,0,0,0,0,0,2,2,1,8.0
10262019,San Francisco,W 3 - 0,3.0,2,0,5,0.4,0,0,0,0,0,0,7,0,5.5
10312019,@ BYU,L 0 - 3,3.0,0,2,6,-0.333,0,0,0,0,0,0,0,0,0.0
11022019,@ San Diego,L 1 - 3,3.0,3,2,10,0.1,0,0,0,2,0,0,3,0,4.5
11072019,Portland,W 3 - 0,3.0,2,5,12,-0.25,2,0,0,1,0,0,6,0,5.0
11092019,Gonzaga,L 2 - 3,5.0,3,2,10,0.1,1,0,0,1,0,2,4,1,7.0
11142019,@ Pepperdine,L 0 - 3,2.0,2,0,5,0.4,0,0,0,0,0,0,2,0,3.0
11162019,@ LMU (CA),L 1 - 3,4.0,5,1,13,0.308,0,0,0,2,0,2,2,0,8.0
11222019,@ Pacific,W 3 - 1,4.0,6,2,15,0.267,0,0,0,1,0,1,5,2,9.5
11262019,@ San Francisco,W 3 - 1,4.0,6,1,18,0.278,0,0,0,0,0,0,8,3,10.0
8242018,Denver @ Salt Lake City,L 1 - 3,4.0,3,3,20,0.0,0,0,0,1,0,1,3,0,5.5
8252018,UC Irvine @ Salt Lake City,L 1 - 3,4.0,6,4,16,0.125,0,0,0,2,0,0,5,1,8.5
8252018,@ Utah,W 3 - 2,5.0,8,3,18,0.278,0,0,0,1,0,0,9,0,12.5
8302018,@ Fresno St.,W 3 - 1,4.0,3,0,9,0.333,0,0,0,0,0,2,7,0,8.5
