Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,"Ga. Southern @ University Park, Pa.",W 3 - 0,3,38,8,99,0.303,36,5,7,44,3,2,19,0,54.5
08272016,@ Penn St.,W 3 - 2,5,56,22,159,0.214,56,8,16,64,5,2,23,0,77.5
08272016,"West Virginia @ University Park, Pa.",W 3 - 0,3,45,14,115,0.27,41,1,7,47,4,0,23,0,57.5
09012016,@ Duke,W 3 - 1,4,53,15,154,0.247,50,6,11,67,5,2,38,1,80.0
09032016,TCU,W 3 - 0,3,52,14,100,0.38,49,1,6,46,1,0,17,2,61.5
09092016,Wisconsin,W 3 - 2,5,71,29,204,0.20600000000000002,67,2,13,82,3,3,28,5,90.0
09102016,Minnesota,L 1 - 3,4,51,26,139,0.18,50,1,6,47,7,4,11,1,61.5
09162016,"Sam Houston St. @ Fort Worth, Texas",W 3 - 0,3,40,14,101,0.257,37,6,3,53,4,0,20,1,56.0
09172016,"SMU @ Fort Worth, Texas",W 3 - 0,3,45,13,96,0.33299999999999996,38,5,5,36,3,0,13,0,56.5
09172016,@ TCU,L 2 - 3,5,68,17,171,0.298,63,9,11,71,5,0,16,3,85.0
09222016,@ NC State,W 3 - 2,5,64,20,166,0.265,63,1,5,76,3,0,30,3,80.0
09252016,@ Boston College,W 3 - 2,5,68,23,173,0.26,61,4,9,75,3,0,21,5,82.5
09302016,@ Georgia Tech,W 3 - 0,3,48,21,123,0.22,45,4,4,53,2,0,22,0,63.0
10022016,@ Clemson,W 3 - 1,4,51,13,107,0.355,49,8,6,47,7,0,9,0,63.5
10072016,Florida St.,W 3 - 0,3,47,15,118,0.271,42,4,4,50,1,2,8,2,57.0
10092016,Miami (FL),W 3 - 0,3,33,6,79,0.342,30,6,6,41,3,4,21,1,53.5
10142016,@ Notre Dame,W 3 - 2,5,66,34,207,0.155,61,5,5,107,6,1,18,0,81.0
10162016,@ Louisville,W 3 - 0,3,39,12,82,0.32899999999999996,29,7,4,32,3,0,9,1,50.5
10212016,Boston College,W 3 - 0,3,40,10,93,0.32299999999999995,37,4,5,43,3,2,19,2,55.5
10232016,Syracuse,W 3 - 0,3,45,17,104,0.26899999999999996,39,3,6,42,1,0,20,2,58.0
10282016,@ Virginia Tech,W 3 - 1,4,58,19,146,0.267,54,5,8,58,4,0,27,1,76.5
10302016,@ Pittsburgh,L 2 - 3,5,46,22,136,0.17600000000000002,43,5,10,50,6,0,33,4,67.5
11042016,@ Miami (FL),W 3 - 1,4,53,17,131,0.275,48,7,7,51,3,4,23,0,75.5
11062016,@ Florida St.,W 3 - 2,5,65,24,160,0.256,58,2,10,58,4,1,12,0,74.0
11112016,Clemson,W 3 - 0,3,48,5,88,0.489,45,3,6,51,1,1,13,4,58.5
11122016,Georgia Tech,W 3 - 2,5,64,19,141,0.319,60,1,4,60,5,5,28,2,84.0
11162016,NC State,W 3 - 0,3,42,7,95,0.368,39,0,7,43,1,1,24,1,55.0
11182016,Virginia,W 3 - 0,3,47,11,99,0.364,45,8,6,42,1,1,13,1,62.5
11232016,Duke,W 3 - 1,4,59,17,157,0.268,54,5,1,82,0,1,26,1,78.0
11262016,Wake Forest,W 3 - 0,3,38,8,85,0.353,36,5,7,44,3,3,24,1,58.0
12022016,High Point,W 3 - 0,3,41,16,94,0.266,38,7,5,54,4,0,8,1,52.0
12032016,Coastal Carolina,W 3 - 1,4,64,16,155,0.31,57,3,6,65,1,4,17,1,79.5
12092016,"UCLA @ Minneapolis, Minn.",L 1 - 3,4,60,15,187,0.24100000000000002,58,5,4,85,4,0,28,6,79.0
