Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,Colorado @ Peter W Stott Center,L 2 - 3,5,63,26,147,0.252,63,3,8,51,7,0,18,6,75.0
08272016,@ Long Beach St.,L 0 - 3,3,30,13,86,0.198,29,5,3,26,5,1,12,5,42.0
08272016,@ Portland St.,W 3 - 1,4,59,12,134,0.35100000000000003,52,5,6,55,7,2,24,2,78.0
09022016,@ North Dakota St.,W 3 - 2,5,68,22,177,0.26,64,1,9,82,4,4,12,2,79.0
09022016,"South Dakota St. @ Fargo, ND",W 3 - 0,3,41,16,110,0.22699999999999998,41,6,6,50,2,4,8,2,55.0
09032016,@ North Dakota,W 3 - 0,3,47,12,107,0.327,43,5,4,52,2,3,2,0,56.0
09052016,UTEP,W 3 - 0,3,43,13,117,0.256,39,3,6,52,2,0,14,1,53.0
09092016,SFA,W 3 - 1,4,54,25,163,0.17800000000000002,50,6,9,85,5,3,18,0,72.0
09092016,Abilene Christian,W 3 - 0,3,42,6,71,0.507,37,9,6,38,0,1,9,0,56.5
09102016,Oral Roberts,W 3 - 1,4,46,13,110,0.3,44,6,7,50,8,2,14,1,61.0
09102016,UTRGV,W 3 - 0,3,46,13,121,0.273,42,5,4,52,1,2,10,0,58.0
09142016,@ Rice,W 3 - 2,5,65,25,174,0.23,57,6,2,70,5,6,12,5,83.0
09152016,"Texas St. @ San Antonio, Texas",L 0 - 3,3,36,21,110,0.136,34,2,6,41,6,0,10,2,43.0
09162016,@ UTSA,L 0 - 3,3,22,19,83,0.036000000000000004,21,3,4,30,8,0,6,2,28.0
09162016,"Wichita St. @ San Antonio, Texas",L 0 - 3,3,38,17,129,0.163,36,1,3,60,3,1,6,1,43.0
09212016,@ TCU,L 1 - 3,4,37,23,147,0.095,31,2,5,65,5,2,8,3,45.0
09242016,West Virginia,L 0 - 3,3,33,15,88,0.205,32,3,3,43,7,0,14,1,43.0
09282016,@ Baylor,L 0 - 3,3,33,19,108,0.13,32,5,3,38,6,0,12,0,44.0
10052016,Kansas St.,L 0 - 3,3,37,19,107,0.168,37,1,4,39,5,2,4,1,42.0
10082016,@ Kansas,L 0 - 3,3,21,12,75,0.12,20,2,4,32,10,0,2,1,24.0
10122016,Oklahoma,L 0 - 3,3,44,19,123,0.203,42,1,8,50,1,0,4,0,47.0
10152016,@ Iowa St.,L 0 - 3,3,27,19,99,0.081,27,1,7,39,3,2,0,1,30.0
10212016,Texas,L 2 - 3,5,59,28,182,0.17,54,4,6,74,4,1,8,2,68.0
10262016,Kansas,L 0 - 3,3,29,22,109,0.064,29,0,3,45,3,1,4,0,32.0
10292016,@ West Virginia,L 2 - 3,5,58,33,161,0.155,56,4,13,63,5,1,20,0,73.0
11022016,Baylor,L 1 - 3,4,53,19,163,0.209,51,0,8,72,3,2,22,2,66.0
11042016,Iowa St.,L 2 - 3,5,57,32,180,0.139,52,6,9,59,4,3,12,1,72.0
11122016,@ Oklahoma,L 0 - 3,3,39,18,105,0.2,36,0,7,36,2,4,10,1,48.0
11162016,@ Texas,L 0 - 3,3,32,18,104,0.135,32,3,6,47,3,0,4,2,37.0
11192016,TCU,L 2 - 3,5,68,29,194,0.201,61,3,9,92,12,1,10,3,77.0
11262016,@ Kansas St.,L 0 - 3,3,30,21,107,0.084,30,2,6,39,2,2,8,1,38.0
