Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,"Savannah St. @ Athens, Ga.",W 3 - 0,3,34,11,81,0.284,33,13,8,41,2,3,8,1,54.0
08272016,@ Georgia,L 1 - 3,4,43,25,131,0.13699999999999998,37,3,9,50,5,1,12,1,53.0
08272016,"UNC Asheville @ Athens, Ga.",W 3 - 1,4,55,14,124,0.331,49,8,10,49,10,1,12,4,70.0
09022016,Indiana,L 1 - 3,4,41,18,102,0.225,37,5,14,27,7,7,14,0,60.0
09022016,Columbia,W 3 - 0,3,39,10,100,0.29,37,8,8,29,1,1,14,2,55.0
09032016,Campbell,L 2 - 3,5,53,33,168,0.11900000000000001,47,7,13,59,6,10,0,0,70.0
09032016,Princeton,L 0 - 3,3,31,14,87,0.195,25,6,5,26,6,4,2,0,42.0
09092016,St. John's (NY),L 0 - 3,3,20,23,87,-0.034,19,3,10,12,5,6,2,0,30.0
09102016,Brown,W 3 - 1,4,62,21,145,0.28300000000000003,58,9,16,54,7,10,2,0,82.0
09102016,UC Santa Barbara,L 0 - 3,3,25,18,90,0.078,24,3,10,24,8,7,0,0,35.0
09162016,"UC Irvine @ Bakersfield, CA",L 0 - 3,3,26,14,67,0.179,25,5,6,19,15,1,8,7,36.0
09172016,"Northern Ariz. @ Bakersfield, Calif.",L 0 - 3,3,26,15,91,0.121,24,5,3,33,9,0,2,7,32.0
09172016,"UC Riverside @ Bakersfield, CA",L 2 - 3,5,55,26,162,0.179,52,10,8,68,9,1,20,8,76.0
09222016,@ San Diego,L 0 - 3,3,24,16,81,0.099,24,1,8,22,6,1,4,3,28.0
09242016,@ BYU,L 0 - 3,3,26,23,81,0.037000000000000005,26,2,3,19,5,0,6,1,31.0
09272016,Saint Mary's (CA),L 0 - 3,3,24,20,91,0.044000000000000004,21,5,3,34,7,8,2,2,38.0
09292016,@ Portland,L 0 - 3,3,24,18,81,0.07400000000000001,22,2,0,28,9,4,6,2,33.0
10012016,@ Gonzaga,L 0 - 3,3,36,17,106,0.179,34,2,5,36,5,2,6,2,43.0
10072016,Santa Clara,L 0 - 3,3,32,21,99,0.111,28,1,4,29,4,5,2,0,39.0
10132016,Pepperdine,L 0 - 3,3,27,19,106,0.075,26,5,5,41,5,5,2,1,38.0
10152016,LMU (CA),L 0 - 3,3,25,18,86,0.081,21,2,3,23,8,7,2,0,35.0
10202016,@ Saint Mary's (CA),L 0 - 3,3,26,17,93,0.09699999999999999,25,3,6,29,7,0,8,1,33.0
10222016,@ Pacific,L 0 - 3,3,25,16,93,0.09699999999999999,25,1,3,34,2,0,16,4,34.0
10272016,Gonzaga,L 0 - 3,3,33,21,124,0.09699999999999999,32,1,6,55,4,5,2,1,40.0
10292016,Portland,L 2 - 3,5,60,23,148,0.25,56,4,5,60,13,13,0,1,77.0
11042016,@ Santa Clara,L 0 - 3,3,29,16,85,0.153,26,1,6,33,11,0,8,1,34.0
11102016,@ LMU (CA),L 0 - 3,3,16,14,69,0.028999999999999998,15,3,5,15,5,2,6,0,24.0
11122016,@ Pepperdine,L 1 - 3,4,54,30,155,0.155,52,3,8,59,7,0,12,1,63.0
11172016,BYU,L 1 - 3,4,33,27,130,0.046,32,4,2,48,8,8,2,1,46.0
11192016,San Diego,L 0 - 3,3,26,22,99,0.04,24,1,2,28,4,5,4,0,34.0
11222016,Pacific,L 0 - 3,3,19,19,84,0.0,17,1,3,20,5,4,18,0,33.0
