Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,"Indiana St. @ Birmingham, Ala.",W 3 - 2,5,57,22,158,0.222,54,11,10,62,3,2,10,7,75.0
08262016,"Nicholls St. @ Birmingham, Ala.",W 3 - 0,3,44,17,120,0.225,40,4,8,60,0,0,12,1,54.0
08272016,@ Samford,L 0 - 3,3,33,17,92,0.174,33,4,5,29,4,1,8,2,42.0
09022016,FIU,W 3 - 0,3,42,10,89,0.36,39,10,7,33,3,0,8,0,56.0
09022016,Southeastern La.,W 3 - 2,5,44,18,144,0.18100000000000002,38,6,17,70,5,1,26,0,64.0
09032016,Florida A&M,W 3 - 1,4,59,18,144,0.285,54,7,10,57,7,1,22,0,78.0
09062016,Southern Miss.,W 3 - 2,5,67,21,169,0.272,58,8,9,64,3,4,10,0,84.0
09092016,@ FGCU,L 1 - 3,4,46,14,126,0.254,44,4,7,50,9,0,6,0,53.0
09092016,"Marist @ Fort Myers, Fla.",W 3 - 1,4,54,21,129,0.256,53,2,9,62,6,0,14,1,63.0
09102016,@ Indiana,L 0 - 3,3,26,19,72,0.09699999999999999,26,2,8,24,10,1,10,0,34.0
09162016,"McNeese @ Athens, Ga.",W 3 - 2,5,71,16,181,0.304,68,6,10,79,1,1,10,1,83.0
09172016,@ Georgia,L 1 - 3,4,59,23,143,0.252,56,6,15,55,3,1,8,2,70.0
09172016,"Bethune-Cookman @ Athens, Ga.",W 3 - 0,3,56,15,122,0.336,53,5,8,52,0,0,10,1,66.0
09232016,UT Arlington,L 1 - 3,4,50,22,132,0.212,49,1,9,55,1,0,6,0,54.0
09252016,Texas St.,L 2 - 3,5,52,28,179,0.134,49,3,6,77,5,2,16,0,65.0
09302016,@ Ga. Southern,L 2 - 3,5,52,20,172,0.18600000000000003,49,3,14,61,7,1,26,0,69.0
10012016,@ Georgia St.,L 1 - 3,4,43,21,133,0.165,40,3,7,56,13,1,14,4,54.0
10082016,Troy,W 3 - 0,3,42,14,91,0.308,34,8,8,30,4,2,8,0,56.0
10142016,Georgia St.,W 3 - 0,3,42,7,100,0.35,41,1,15,47,1,1,8,0,48.0
10152016,Ga. Southern,W 3 - 0,3,45,8,104,0.35600000000000004,43,3,8,49,3,0,6,0,51.0
10212016,@ Arkansas St.,L 0 - 3,3,28,17,99,0.111,28,3,6,49,8,3,8,0,38.0
10222016,@ Little Rock,W 3 - 1,4,61,18,150,0.287,58,6,8,81,3,0,12,1,73.0
10252016,@ Troy,L 1 - 3,4,45,27,154,0.11699999999999999,41,2,11,54,2,1,24,0,60.0
10282016,Coastal Carolina,L 0 - 3,3,25,16,94,0.096,23,2,8,41,6,0,8,0,31.0
10302016,App State,W 3 - 1,4,52,14,151,0.252,51,3,11,66,2,1,24,0,68.0
11042016,@ ULM,L 2 - 3,5,64,30,192,0.177,62,4,15,92,6,2,22,1,81.0
11062016,@ Louisiana,W 3 - 1,4,53,15,151,0.252,53,9,11,86,6,5,8,1,71.0
11112016,@ App State,W 3 - 2,5,66,20,173,0.266,63,6,7,90,5,5,8,0,81.0
11132016,@ Coastal Carolina,L 0 - 3,3,22,11,115,0.096,21,3,5,50,4,2,10,5,32.0
11182016,"Texas St. @ Arlington, Texas",L 0 - 3,3,29,15,90,0.156,29,1,8,36,6,0,23,5,41.5
