Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,Western Ky.,L 1 - 3,4,57,22,159,0.22,51,2,7,65,3,2,6,0,64.0
08272016,Villanova,L 0 - 3,3,18,15,90,0.033,18,2,2,44,8,0,6,0,23.0
08272016,FGCU,L 0 - 3,3,24,17,90,0.078,24,4,5,35,12,0,10,0,33.0
08302016,@ Marshall,L 2 - 3,5,56,27,188,0.154,47,2,14,72,6,1,24,1,71.0
09022016,"Wofford @ Boone, N.C.",W 3 - 0,3,32,16,77,0.20800000000000002,31,6,7,37,0,4,4,0,44.0
09032016,"UNCW @ Boone, N.C.",L 1 - 3,4,51,29,152,0.145,49,10,9,63,5,2,6,2,66.0
09032016,@ App State,W 3 - 0,3,42,7,93,0.376,40,7,9,49,4,0,6,1,52.0
09092016,@ Oklahoma,L 0 - 3,3,30,15,103,0.146,28,2,8,36,4,1,8,0,37.0
09092016,"Lamar University @ Norman, Okla.",W 3 - 0,3,42,13,92,0.315,41,6,8,38,2,3,6,0,54.0
09102016,"UTSA @ Norman, Okla.",L 1 - 3,4,54,18,134,0.26899999999999996,53,3,11,48,2,3,10,2,65.0
09162016,"Radford @ Blacksburg, Va.",L 0 - 3,3,40,21,111,0.171,37,2,5,44,8,0,12,0,48.0
09162016,@ Virginia Tech,W 3 - 2,5,69,27,185,0.22699999999999998,63,6,21,77,1,4,16,1,87.0
09232016,Akron,W 3 - 0,3,49,15,115,0.29600000000000004,46,5,10,47,2,3,6,0,60.0
09242016,Buffalo,W 3 - 0,3,42,19,102,0.225,40,13,7,33,3,1,0,0,56.0
09292016,@ Miami (OH),L 0 - 3,3,30,18,96,0.125,27,4,12,38,1,1,8,0,39.0
09302016,@ Bowling Green,W 3 - 0,3,45,11,113,0.301,42,4,6,50,5,1,16,0,58.0
10062016,Kent St.,W 3 - 1,4,56,20,148,0.243,55,4,10,77,4,3,14,0,70.0
10082016,Eastern Mich.,W 3 - 2,5,67,16,177,0.28800000000000003,61,10,10,85,8,3,4,0,82.0
10142016,@ Toledo,L 1 - 3,4,58,22,147,0.245,54,4,19,54,4,2,4,1,66.0
10152016,@ Ball St.,W 3 - 2,5,70,23,182,0.258,66,5,8,83,2,2,18,1,86.0
10212016,Northern Ill.,L 2 - 3,5,72,26,185,0.249,69,10,6,69,2,1,8,0,87.0
10222016,Western Mich.,W 3 - 0,3,44,18,128,0.203,42,6,7,63,3,4,18,0,63.0
10282016,@ Buffalo,W 3 - 1,4,54,18,136,0.265,51,7,12,47,0,3,8,3,68.0
10292016,@ Akron,W 3 - 1,4,56,18,134,0.284,54,5,10,40,1,4,14,0,72.0
11042016,Miami (OH),L 0 - 3,3,38,18,114,0.175,38,1,6,49,4,1,6,0,43.0
11052016,Bowling Green,W 3 - 2,5,69,23,204,0.225,65,6,11,92,5,2,26,0,90.0
11102016,@ Kent St.,W 3 - 1,4,62,16,183,0.251,61,5,8,85,5,4,10,1,76.0
11122016,@ Central Mich.,L 2 - 3,5,64,23,182,0.225,59,5,14,76,11,3,14,0,79.0
11182016,"Toledo @ DeKalb, Ill.",W 3 - 0,3,44,10,119,0.28600000000000003,42,6,3,54,2,2,16,2,60.0
11192016,@ Northern Ill.,L 0 - 3,3,36,26,109,0.092,33,1,6,36,3,1,6,1,41.0
