Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08302019,@ Utah,L 0 - 3,3.0,0,0,0,0.0,6,0,0,4,0,0,0,1,0.0
08302019,Cal Poly @ Salt Lake City,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08312019,Kentucky @ Salt Lake City,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09052019,@ Southern Utah,L 2 - 3,5.0,3,0,9,0.33299999999999996,30,0,2,10,0,0,1,0,3.5
09062019,"Boise St. @ Cedar City, UT",L 2 - 3,1.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0
09072019,"Middle Tenn. @ Cedar City, UT",W 3 - 1,4.0,1,0,1,1.0,19,0,3,2,0,0,0,0,1.0
09132019,Cornell,W 3 - 2,3.0,0,0,1,0.0,6,1,0,2,0,0,0,0,1.0
09142019,Utah St.,W 3 - 0,1.0,0,0,1,0.0,3,0,0,0,0,0,0,0,0.0
09192019,@ California,L 0 - 3,1.0,0,1,1,-1.0,1,0,0,0,0,0,0,0,0.0
09212019,California,L 1 - 3,4.0,2,0,3,0.667,12,0,1,7,0,0,0,0,2.0
09272019,Pacific,L 2 - 3,5.0,0,1,4,-0.25,20,0,2,11,0,0,0,0,0.0
10012019,@ Santa Clara,L 0 - 3,3.0,0,0,3,0.0,13,1,0,6,0,0,0,0,1.0
10032019,San Diego,L 0 - 3,3.0,1,1,2,0.0,9,0,0,2,0,0,0,0,1.0
10052019,BYU,L 0 - 3,3.0,0,0,3,0.0,14,0,2,2,0,0,0,0,0.0
10102019,@ Gonzaga,W 3 - 1,4.0,2,0,5,0.4,11,0,0,4,0,0,0,0,2.0
10122019,@ Portland,W 3 - 1,4.0,2,0,2,1.0,20,2,0,1,0,0,0,0,4.0
10172019,LMU (CA),L 2 - 3,5.0,1,0,3,0.33299999999999996,12,0,1,4,0,0,0,0,1.0
10192019,Pepperdine,W 3 - 1,4.0,0,0,1,0.0,16,3,1,6,0,0,0,0,3.0
10242019,Santa Clara,L 1 - 3,4.0,0,0,1,0.0,13,0,1,9,0,0,0,0,0.0
10262019,San Francisco,W 3 - 0,3.0,1,0,2,0.5,11,0,1,8,0,0,0,0,1.0
10312019,@ BYU,L 0 - 3,3.0,1,1,3,0.0,3,0,2,2,0,0,0,0,1.0
11022019,@ San Diego,L 1 - 3,4.0,2,0,2,1.0,15,0,2,2,0,0,0,0,2.0
11072019,Portland,W 3 - 0,3.0,0,0,2,0.0,14,2,0,2,0,0,0,0,2.0
11092019,Gonzaga,L 2 - 3,5.0,1,0,3,0.33299999999999996,16,1,1,4,0,0,0,0,2.0
11142019,@ Pepperdine,L 0 - 3,3.0,2,0,2,1.0,11,0,0,7,0,0,0,0,2.0
11162019,@ LMU (CA),L 1 - 3,4.0,1,0,4,0.25,15,0,0,7,0,0,0,0,1.0
11222019,@ Pacific,W 3 - 1,4.0,1,0,2,0.5,15,1,1,4,0,0,0,0,2.0
11262019,@ San Francisco,W 3 - 1,3.0,0,0,1,0.0,1,0,1,2,0,0,0,0,0.0
