Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,@ Tennessee,W 3 - 2,5,76.0,27.0,207.0,0.237,72.0,12.0,16.0,90.0,1.0,2.0,18.0,2.0,99.0
9012019,Tennessee,W 3 - 2,5,67.5,25.5,185.0,0.22599999999999998,62.5,8.5,16.5,69.0,3.0,1.0,21.0,1.0,49.5
9062019,"Washington @ Iowa City, Iowa",L 2 - 3,5,69.33333333333333,25.666666666666668,177.66666666666666,0.24666666666666667,64.66666666666667,6.666666666666667,16.333333333333332,66.66666666666667,3.6666666666666665,1.0,20.0,1.6666666666666667,61.666666666666664
9072019,Colorado,L 0 - 3,3,63.0,22.5,156.75,0.2675,57.0,6.75,15.25,53.75,4.5,1.25,17.5,1.25,60.75
9132019,@ Illinois St.,L 1 - 3,4,59.0,22.0,155.0,0.24500000000000002,53.6,6.0,14.6,52.6,4.6,1.0,19.2,1.6,60.4
9142019,"UCF @ Normal, Ill.",L 1 - 3,4,58.333333333333336,22.666666666666668,155.33333333333334,0.23500000000000001,53.5,5.666666666666667,13.0,55.166666666666664,5.333333333333333,0.8333333333333334,17.333333333333332,1.3333333333333333,60.833333333333336
9142019,"Marquette @ Normal, Ill.",W 3 - 2,5,58.57142857142857,23.428571428571427,156.42857142857142,0.22942857142857145,54.42857142857143,5.714285714285714,12.428571428571429,56.714285714285715,5.428571428571429,1.0,17.428571428571427,1.4285714285714286,63.142857142857146
9202019,"Pacific @ Indianapolis, IN",W 3 - 1,4,57.375,22.25,151.625,0.237875,53.25,5.875,12.0,55.875,5.125,1.375,16.75,1.5,63.5
9212019,"LMU (CA) @ Indianapolis, IN",W 3 - 1,4,56.666666666666664,21.444444444444443,148.77777777777777,0.24322222222222223,52.77777777777778,6.333333333333333,11.555555555555555,54.77777777777778,4.777777777777778,1.4444444444444444,17.11111111111111,1.4444444444444444,64.55555555555556
9272019,Nebraska,L 2 - 3,5,57.1,22.3,151.7,0.2363,52.8,6.2,11.7,55.4,4.7,1.4,17.0,1.5,65.6
9282019,Iowa,W 3 - 0,3,54.4,21.2,141.9,0.24289999999999998,49.8,5.5,11.7,49.7,4.7,1.2,16.4,1.3,61.7
10042019,@ Indiana,W 3 - 0,3,52.8,20.0,134.5,0.2562,48.4,5.2,11.0,49.4,4.3,1.5,15.6,1.4,67.3
10062019,@ Purdue,W 3 - 1,4,51.9,20.2,133.6,0.2508,47.7,5.7,9.8,49.2,4.0,1.5,16.2,1.1,67.2
10092019,Minnesota,L 1 - 3,4,53.6,21.7,141.7,0.2367,49.9,5.9,9.4,55.2,3.5,1.4,16.4,1.3,69.1
10122019,Indiana,W 3 - 0,3,53.0,20.4,134.0,0.2635,49.5,6.5,9.0,53.9,3.1,1.4,14.8,1.0,68.3
10182019,@ Wisconsin,L 2 - 3,5,53.7,20.9,135.0,0.2636,49.8,6.4,9.7,54.4,2.9,1.6,14.6,1.2,69.0
10192019,@ Minnesota,L 1 - 3,4,53.5,21.2,137.8,0.2581,49.6,6.1,9.5,56.3,2.6,1.5,15.0,1.1,68.6
10232019,@ Penn St.,L 2 - 3,5,55.4,22.7,144.5,0.24949999999999997,51.3,5.9,9.2,58.5,3.1,1.1,15.6,0.9,70.2
10262019,Ohio St.,W 3 - 0,3,54.8,22.7,144.6,0.2445,50.5,5.6,8.7,59.1,3.1,0.9,14.4,0.9,68.5
11012019,Michigan,L 1 - 3,4,54.5,22.1,141.2,0.25070000000000003,50.4,5.5,8.4,58.1,2.7,0.8,13.4,0.9,67.5
11022019,Michigan St.,W 3 - 0,3,54.2,21.4,139.7,0.25980000000000003,50.6,5.4,7.4,58.4,2.6,1.1,13.4,1.1,67.4
11062019,@ Iowa,W 3 - 0,3,54.4,21.5,140.7,0.25730000000000003,51.1,6.1,7.3,57.6,2.6,0.8,12.4,1.0,67.5
11092019,@ Michigan,L 1 - 3,4,52.3,21.2,138.8,0.24720000000000003,48.9,6.0,7.8,56.2,2.9,1.0,11.2,1.5,64.9
11152019,Penn St.,L 0 - 3,3,49.5,20.8,132.4,0.23640000000000003,46.4,5.4,7.5,53.4,2.9,1.0,10.2,1.4,61.0
11162019,Rutgers,W 3 - 0,3,50.4,21.4,136.0,0.22490000000000002,47.0,5.4,7.2,54.7,2.8,1.2,10.3,1.4,62.15
11222019,@ Maryland,W 3 - 0,3,48.8,20.5,131.3,0.22630000000000003,45.9,5.8,6.3,52.2,2.2,1.3,10.7,1.2,61.25
11242019,@ Ohio St.,W 3 - 1,4,48.6,19.5,126.2,0.23720000000000002,45.4,6.5,6.2,50.3,2.2,1.4,9.7,1.3,61.35
11272019,Northwestern,W 3 - 1,4,48.0,18.5,122.2,0.24580000000000007,44.8,6.5,6.7,48.7,2.0,1.5,10.1,1.5,61.05
11302019,@ Northwestern,L 1 - 3,4,48.9,19.1,123.7,0.2454,45.6,6.2,7.1,48.9,2.0,1.6,9.9,1.4,61.65
12062019,"Utah @ Provo, UT",L 2 - 3,5,49.2,19.6,125.0,0.24220000000000003,46.4,6.5,7.1,48.0,2.5,1.7,11.4,1.4,63.1
8242018,"UNCW @ Fort Collins, CO",W 3 - 0,3,49.2,20.4,125.3,0.2327,46.4,6.8,7.0,49.4,2.9,1.6,11.0,1.3,63.1
8242018,@ Colorado St.,W 3 - 2,5,50.6,22.3,130.7,0.21800000000000003,47.6,6.5,6.9,52.1,3.6,1.7,12.8,1.3,65.2
8252018,@ Northern Colo.,W 3 - 2,5,52.9,22.1,133.0,0.2319,49.7,6.6,7.3,54.0,3.9,1.6,13.0,0.9,67.6
8312018,"Colorado @ Seattle, Wash.",W 3 - 0,3,53.8,21.5,132.1,0.2473,50.6,6.9,7.9,53.4,3.8,1.7,14.8,1.0,69.8
9012018,@ Washington,W 3 - 1,4,55.4,21.6,134.9,0.2521,52.3,6.5,8.2,53.1,4.4,1.5,16.7,1.2,71.75
9072018,"Bowling Green @ Cleveland, Ohio",W 3 - 0,3,55.5,20.1,132.9,0.27209999999999995,52.3,6.6,8.5,53.0,4.9,1.2,17.7,1.4,72.15
9072018,@ Cleveland St.,W 3 - 0,3,54.4,18.7,128.8,0.2855,51.1,6.2,8.6,52.1,4.7,1.0,17.7,1.2,70.45
9082018,"UC Irvine @ Cleveland, Ohio",W 3 - 0,3,52.2,17.6,123.1,0.2921999999999999,49.3,6.7,8.3,50.5,4.2,1.1,16.9,1.0,68.45
9142018,UNI,W 3 - 0,3,51.4,17.2,119.0,0.29769999999999996,48.8,6.9,8.6,49.3,4.2,1.0,17.5,1.1,68.05
9152018,Lipscomb,W 3 - 0,3,49.6,14.6,111.1,0.3285999999999999,46.8,6.7,8.3,48.3,4.0,0.9,18.4,0.9,66.4
9152018,Creighton,W 3 - 1,4,50.5,14.9,115.9,0.3227999999999999,47.7,6.5,8.5,49.5,4.1,0.8,20.2,1.3,67.9
9212018,@ Purdue,W 3 - 1,4,50.9,14.5,117.3,0.32619999999999993,48.1,7.1,8.6,49.1,3.6,0.8,19.0,1.4,68.3
9232018,@ Indiana,W 3 - 2,5,50.9,14.8,116.3,0.3259999999999999,48.2,7.0,8.5,49.6,3.7,0.8,19.4,1.6,68.4
9282018,Iowa,W 3 - 0,3,51.8,14.5,117.3,0.3345999999999999,49.3,6.8,8.6,50.8,3.8,0.8,19.0,1.4,68.9
9292018,Nebraska,L 1 - 3,4,50.6,15.9,117.8,0.3146999999999999,48.3,6.5,8.6,51.2,4.0,1.0,17.0,1.2,66.6
10032018,Wisconsin,L 1 - 3,4,51.6,17.6,122.4,0.29729999999999995,48.7,6.4,8.9,51.3,3.8,1.1,15.8,1.4,67.0
10062018,Northwestern,W 3 - 0,3,50.8,17.7,120.3,0.2961,47.9,6.5,9.1,49.5,3.7,1.2,15.8,1.5,66.4
