0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/25/2017,Marquette,L 2 - 3,,,,,,,,,,,,,,,,,
08/26/2017,San Diego,L 0 - 3,,,,,,,,,,,,,,,,,
08/27/2017,UCLA,L 2 - 3,1,1,0,1,1,-1.000,,,,,,,,,,,
08/31/2017,Western Caro.,W 3 - 0,2,1,2,0,8,0.250,,,,,,,2,1,3.0,,
09/01/2017,South Dakota,W 3 - 0,2,1,3,0,7,0.429,,,,,,1,2,,5.0,,
09/03/2017,Utah,L 1 - 3,3,1,3,1,14,0.143,,,,,,2,2,,6.0,,
09/07/2017,BYU,L 2 - 3,3,1,1,1,6,,,,,1,,,,,1.0,,
09/08/2017,Baylor,W 3 - 2,,,,,,,,,,,,,,,,,
09/09/2017,Nevada,W 3 - 0,2,1,2,1,4,0.250,,,,,,,,,2.0,,
09/15/2017,Northern Ariz.,W 3 - 0,1,1,0,0,2,,,,,,,,,,,,
09/16/2017,Northern Ariz.,W 3 - 0,2,1,3,3,10,,,,,,,,,,3.0,,
09/22/2017,UC Irvine,W 3 - 1,3,1,5,1,8,0.500,1,,,,,1,3,,7.5,,
09/23/2017,UC Davis,W 3 - 0,3,1,2,3,12,-0.083,,,,1,,,2,1,3.0,,
09/29/2017,@ Cal St. Fullerton,W 3 - 0,2,1,4,0,7,0.571,,,,,,,2,,5.0,,
09/30/2017,@ UC Riverside,W 3 - 2,3,1,5,3,12,0.167,,,,,,,1,,5.5,,
10/06/2017,UC Santa Barbara,W 3 - 0,2,1,2,2,7,,,,,,,,1,,2.5,,
10/07/2017,Cal Poly,L 2 - 3,1,1,0,1,1,-1.000,,,,,,,,,,,
10/13/2017,@ Long Beach St.,W 3 - 1,1,1,1,0,2,0.500,,,,,,,1,,1.5,,
10/14/2017,@ CSUN,W 3 - 2,,,,,,,,,,,,,,,,,
10/20/2017,UC Riverside,W 3 - 0,,,,,,,,,,,,,,,,,
10/21/2017,Cal St. Fullerton,W 3 - 0,1,1,1,0,2,0.500,,,,,,,,,1.0,,
10/27/2017,@ Cal Poly,L 2 - 3,,,,,,,,,,,,,,,,,
10/28/2017,@ UC Santa Barbara,W 3 - 1,,,,,,,,,,,,,,,,,
11/03/2017,CSUN,W 3 - 0,,,,,,,,,,,,,,,,,
11/04/2017,Long Beach St.,W 3 - 0,,,,,,,,,,,,,,,,,
11/16/2017,@ UC Davis,W 3 - 0,1,1,1,0,2,0.500,,,,,,,2,,2.0,,
11/18/2017,@ UC Irvine,W 3 - 0,,,,,,,,,,,,,,,,,
12/01/2017,"Illinois @ Seattle, Wash.",L 2 - 3,,,,,,,,,,,,,,,,,
