0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,Illinois St.,W 3 - 1,,,,,,,,,,,,,,,,,
08/27/2016,UCLA,L 1 - 3,,,,,,,,,,,,,,,,,
08/27/2016,Niagara,W 3 - 1,3,1,4,1,6,0.500,,,2,,,,,,4.0,,
09/02/2016,@ Denver,L 1 - 3,,,,,,,,,,,,,,,,,
09/03/2016,"Montana St. @ Denver, Colo.",W 3 - 0,2,1,4,1,5,0.600,,,,,,,1,2,4.5,,
09/03/2016,"Utah St. @ Denver, Colo.",W 3 - 0,1,1,1,0,1,1.000,,,,,,,,,1.0,,
09/08/2016,@ Long Beach St.,L 0 - 3,,,,,,,,,,,,,,,,,
09/09/2016,Harvard,W 3 - 0,1,1,0,0,0,,,,,,,,,,,,
09/10/2016,Duke,W 3 - 0,1,1,0,0,0,,,,,,,,,,,,
09/16/2016,@ Dayton,W 3 - 0,,,,,,,,,,,,,,,,,
09/17/2016,"Southern Ill. @ Dayton, OH",W 3 - 0,,,,,,,,,,,,,,,,,
09/17/2016,"Youngstown St. @ Dayton, OH",W 3 - 0,3,1,3,2,6,0.167,,,,,1,,1,,3.5,,
09/24/2016,@ Pepperdine,W 3 - 0,,,,,,,,,,,,,,,,,
09/27/2016,San Diego,L 2 - 3,,,,,,,,,,,,,,,,,
09/29/2016,@ Saint Mary's (CA),W 3 - 1,1,1,1,0,2,0.500,,,,1,,,,,1.0,,
10/01/2016,@ Pacific,L 2 - 3,,,,,,,,,,,,,,,,,
10/06/2016,Portland,W 3 - 0,,,,,,,,,,,,,,,,,
10/08/2016,Gonzaga,L 2 - 3,,,,,,,,,,,,,,,,,
10/13/2016,@ Santa Clara,W 3 - 0,,,,,,,,,,,,,,,,,
10/15/2016,@ San Francisco,W 3 - 0,2,1,1,1,3,,,,,,,,,,1.0,,
10/20/2016,@ San Diego,L 1 - 3,,,,,,,,,,,,,,,,,
10/22/2016,@ BYU,L 2 - 3,,,,,,,,,,,,,,,,,
10/27/2016,Pacific,L 2 - 3,,,,,,,,,,,,,,,,,
10/29/2016,Saint Mary's (CA),W 3 - 0,1,1,0,0,3,,,,,,,,,,,,
11/03/2016,@ Gonzaga,W 3 - 0,,,,,,,,,,,,,,,,,
11/05/2016,@ Portland,W 3 - 0,,,,,,,,,,,,,,,,,
11/10/2016,San Francisco,W 3 - 0,2,1,2,1,3,0.333,,,,,,,,,2.0,,
11/12/2016,Santa Clara,L 1 - 3,,,,,,,,,,,,,,,,,
11/19/2016,Pepperdine,W 3 - 1,,,,,,,,,,,,,,,,,
11/22/2016,BYU,L 2 - 3,,,,,,,,,,,,,,,,,
