0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,"Lamar University @ Jacksonville, Ala.",W 3 - 1,,3,1,0,0,2,,1,1,2,5,4,,,,1.0,,
08/24/2018,"Little Rock @ Jacksonville, Ala.",L 0 - 3,,1,1,0,0,0,,,,,1,,,,,,,
08/25/2018,"North Ala. @ Jacksonville, Ala.",W 3 - 2,,2,1,0,0,1,,,,1,2,1,,,,,,
08/25/2018,@ Jacksonville St.,L 1 - 3,,1,1,0,0,0,,,,,,,,,,,,
08/31/2018,"Wright St. @ Morehead, Ky.",L 0 - 3,,3,1,0,0,0,,1,,1,1,1,,,,,,
08/31/2018,@ Morehead St.,L 0 - 3,,3,1,0,0,0,,,,,1,,,,,,,
09/01/2018,"Saint Francis (PA) @ Morehead, Ky.",W 3 - 0,,3,1,0,0,0,,,,2,,,,,,,,
09/04/2018,Florida A&M,W 3 - 0,,2,1,0,0,1,,,1,,4,,,,,1.0,,
09/07/2018,UT Martin,W 3 - 1,,2,1,0,1,1,-1.000,,,,4,1,,,,,,
09/07/2018,Alabama A&M,W 3 - 0,,3,1,0,0,1,,1,1,2,7,1,,,,1.0,,
09/08/2018,Jacksonville,W 3 - 1,,3,1,0,0,1,,3,,,10,2,,,,,,
09/21/2018,Western Caro.,W 3 - 1,,4,1,0,0,2,,,,2,21,,,,,,,
09/22/2018,UNC Greensboro,L 2 - 3,,5,1,0,0,0,,,1,2,17,2,,,,1.0,,
09/28/2018,@ Furman,L 0 - 3,,3,1,0,1,1,-1.000,1,1,1,14,,,,,1.0,,
09/29/2018,@ Wofford,L 0 - 3,,3,1,0,0,0,,1,,,4,1,,,,,,
10/05/2018,@ Samford,L 0 - 3,,3,1,0,0,0,,,,1,16,1,,,,,,
10/06/2018,@ Chattanooga,L 0 - 3,,3,1,0,0,0,,,2,2,11,2,,,,2.0,,
10/10/2018,@ The Citadel,W 3 - 0,,3,1,0,0,0,,3,1,4,17,1,,,,1.0,,
10/12/2018,ETSU,L 1 - 3,,4,1,1,0,1,1.000,2,1,1,14,4,,,,2.0,,
10/19/2018,@ UNC Greensboro,W 3 - 2,,5,1,0,0,0,,2,2,,11,,,,,2.0,,
10/21/2018,@ Western Caro.,W 3 - 2,,5,1,0,0,0,,3,1,5,12,,,,,1.0,,
10/26/2018,Wofford,W 3 - 1,,4,1,0,0,1,,1,4,1,9,,,,,4.0,,
10/27/2018,Furman,L 1 - 3,,4,1,0,0,0,,1,,2,8,1,,,,,,
11/02/2018,Chattanooga,W 3 - 0,,3,1,0,0,1,,1,1,1,6,,,,,1.0,,
11/03/2018,Samford,W 3 - 2,,2,1,0,0,0,,1,,2,,2,,,,,,
11/07/2018,The Citadel,W 3 - 2,,3,1,0,0,0,,2,,1,5,,,,,,,
11/10/2018,@ ETSU,L 0 - 3,,2,1,0,0,1,,1,,2,4,,,,,,,
11/16/2018,"Wofford @ Greensboro, N.C.",W 3 - 0,,3,1,0,0,0,,,1,,3,,,,,1.0,,
11/17/2018,"ETSU @ Greensboro, N.C.",L 0 - 3,,1,1,0,0,0,,,,1,,,,,,,,
