0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,Robert Morris,W 3 - 0,,3,1,1,0,4,0.250,17,4,,4,,,,,5.0,,
08/25/2018,Middle Tenn.,W 3 - 1,,4,1,1,1,2,,16,5,,9,,,,,6.0,,
08/25/2018,Charleston So.,W 3 - 0,,3,1,1,0,3,0.333,9,4,,1,,,,,5.0,,
08/31/2018,"Eastern Wash. @ Grand Forks, N.D.",W 3 - 1,,4,1,2,0,5,0.400,17,1,2,7,,,,,3.0,,
08/31/2018,@ North Dakota,L 0 - 3,,3,1,1,0,2,0.500,5,,,3,,,,,1.0,,
09/01/2018,"Louisiana Tech @ Grand Forks, N.D.",W 3 - 0,,3,1,2,1,3,0.333,17,1,,8,1,,,,3.0,,
09/02/2018,@ North Dakota St.,L 1 - 3,,4,1,0,0,1,,13,1,,8,,,,1,1.0,1,
09/07/2018,"Bradley @ Cadsden, Ala.",L 0 - 3,,2,1,1,0,3,0.333,4,1,2,8,,,,,2.0,,
09/07/2018,"Mississippi Val. @ Gadsden, Ala.",W 3 - 0,,3,1,0,0,0,,12,,1,3,,,,,,,
09/08/2018,"Jacksonville St. @ Gadsden, Ala.",L 1 - 3,,4,1,1,0,3,0.333,8,1,1,4,,,,,2.0,2,
09/11/2018,@ UNC Asheville,L 1 - 3,,4,1,1,1,6,,21,,,5,,,,,1.0,,
09/19/2018,ETSU,L 0 - 3,,3,1,0,1,4,-0.250,9,,,9,,,,,,,
09/21/2018,@ Mercer,L 1 - 3,,4,1,0,0,2,,13,3,,8,,,,,3.0,,
09/22/2018,@ The Citadel,L 2 - 3,,5,1,0,0,2,,22,5,1,7,,,,,5.0,,
09/26/2018,UNC Greensboro,W 3 - 0,,3,1,1,0,4,0.250,13,2,3,,,,,,3.0,,
10/05/2018,Furman,W 3 - 1,,4,1,1,0,3,0.333,14,,,13,,,,,1.0,,
10/06/2018,Wofford,W 3 - 1,,4,1,0,0,2,,19,3,,6,,,,,3.0,,
10/12/2018,Samford,L 2 - 3,,5,1,2,0,8,0.250,23,1,1,11,,,,,3.0,,
10/13/2018,Chattanooga,W 3 - 1,,4,1,0,0,3,,23,,2,2,,,,,,,
10/17/2018,@ ETSU,L 0 - 3,,3,1,0,0,0,,12,,,3,,,,,,,
10/19/2018,The Citadel,W 3 - 0,,3,1,2,0,2,1.000,13,1,3,6,,,,,3.0,,
10/21/2018,Mercer,L 2 - 3,,5,1,4,0,9,0.444,14,1,1,4,,,,,5.0,,
10/24/2018,@ UNC Greensboro,W 3 - 1,,4,1,3,0,6,0.500,18,,,7,,,,1,3.0,,
11/02/2018,@ Wofford,L 1 - 3,,4,1,6,1,12,0.417,23,2,2,5,,,1,1,8.5,3,
11/03/2018,@ Furman,L 1 - 3,,4,1,5,0,14,0.357,36,,1,12,,,,,5.0,,
11/09/2018,@ Chattanooga,L 1 - 3,,4,1,3,0,8,0.375,12,2,,10,,,,,5.0,3,
11/10/2018,@ Samford,L 1 - 3,,4,1,0,1,4,-0.250,17,,1,10,,,,,,1,
11/16/2018,"The Citadel @ Greensboro, N.C.",L 1 - 3,,4,1,1,0,6,0.167,17,,,9,,,,,1.0,,
