0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,"Ball St. @ Dayton, Ohio",L 2 - 3,,5,1,0,0,0,,3,1,,11,3,,,,1.0,,
08/25/2018,@ Dayton,L 1 - 3,,4,1,0,0,0,,3,,,10,2,,,,,,
08/25/2018,"Marshall @ Dayton, Ohio",W 3 - 1,,4,1,1,0,1,1.000,6,,3,13,1,,,,1.0,,
08/30/2018,"Tulane @ Atlanta, Ga.",L 0 - 3,,3,1,0,0,0,,2,,1,14,,,,,,,
08/31/2018,@ Georgia Tech,L 2 - 3,,5,1,0,0,1,,6,2,2,17,3,,,,2.0,,
08/31/2018,"Wofford @ Atlanta, Ga.",L 1 - 3,,2,1,0,0,0,,2,1,1,9,1,,,,1.0,,
09/07/2018,Southeastern La.,W 3 - 0,,3,1,0,0,0,,3,,2,11,1,,,,,,
09/07/2018,Mississippi St.,W 3 - 0,,3,1,0,0,0,,5,,,13,,,,,,,
09/08/2018,Louisiana Tech,W 3 - 1,,4,1,0,1,2,-0.500,4,3,,17,1,,,,3.0,1,
09/11/2018,Alabama St.,W 3 - 0,,3,1,0,0,0,,5,1,2,8,2,,,,1.0,,
09/14/2018,@ Alabama,L 1 - 3,,,,,,,,,,,,,,,,,,
09/14/2018,"Southern Miss. @ Tuscaloosa, AL",W 3 - 0,,,,,,,,,,,,,,,,,,
09/15/2018,"Purdue @ Tuscaloosa, AL",L 2 - 3,,,,,,,,,,,,,,,,,,
09/21/2018,@ Little Rock,L 1 - 3,,4,1,1,0,1,1.000,3,1,1,13,,,,,2.0,,
09/23/2018,@ Arkansas St.,L 2 - 3,,5,1,0,0,0,,1,,1,18,2,,,,,,
09/28/2018,Ga. Southern,L 2 - 3,,5,1,0,1,1,-1.000,3,1,,20,1,,,,1.0,,
09/29/2018,Georgia St.,W 3 - 0,,3,1,0,0,0,,4,,,11,4,,,,,,
10/05/2018,@ ULM,W 3 - 0,,3,1,0,1,1,-1.000,8,1,,9,3,,,,1.0,,
10/06/2018,@ Louisiana,L 1 - 3,,4,1,0,0,2,,3,1,1,13,,,,,1.0,,
10/12/2018,@ Georgia St.,W 3 - 1,,4,1,0,0,1,,1,1,2,17,,,,,1.0,,
10/13/2018,@ Ga. Southern,W 3 - 0,,3,1,0,0,0,,,5,,7,,,,,5.0,,
10/19/2018,Texas St.,L 1 - 3,,4,1,0,0,1,,,,1,5,3,,,,,,
10/20/2018,UT Arlington,W 3 - 1,,4,1,0,0,0,,1,4,1,13,2,,,,4.0,,
10/26/2018,"App State @ Boone, N.C.",L 0 - 3,,2,1,0,0,0,,2,,1,2,2,,,,,,
10/28/2018,@ Coastal Carolina,L 1 - 3,,4,1,0,0,1,,1,2,,10,,,,,2.0,,
10/31/2018,@ Troy,W 3 - 0,,3,1,0,0,0,,2,1,1,9,,,,,1.0,,
11/03/2018,Troy,W 3 - 1,,4,1,1,0,1,1.000,5,1,,16,,,,,2.0,,
11/09/2018,Coastal Carolina,L 0 - 3,,3,1,1,0,1,1.000,1,1,,16,,,,,2.0,,
11/11/2018,App State,L 1 - 3,,4,1,0,0,1,,5,,,17,,,,,,,
11/15/2018,"Arkansas St. @ Atlanta, GA",L 2 - 3,,5,1,0,0,1,,4,2,,22,1,,,,2.0,,
