0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/25/2017,Southern U.,W 3 - 0,1,1,0,0,0,,,,,,,,,,,,
08/26/2017,Houston,W 3 - 2,4,1,0,0,0,,,,,1,,,,,,,
08/26/2017,McNeese,W 3 - 0,,,,,,,,,,,,,,,,,
09/01/2017,@ Belmont,L 2 - 3,3,1,0,0,0,,,,1,1,,,,,,,
09/01/2017,"Middle Tenn. @ Nashville, Tenn.",W 3 - 0,,,,,,,,,,,,,,,,,
09/02/2017,"Idaho St. @ Nashville, Tenn.",W 3 - 0,3,1,0,0,0,,,1,,,,,,,1.0,,
09/08/2017,"Northern Colo. @ Albuquerque, N.M.",L 1 - 3,4,1,0,0,0,,,,,,,,,,,,
09/08/2017,@ New Mexico,L 0 - 3,2,1,0,0,0,,,,,,,,,,,,
09/09/2017,"Portland @ Albuquerque, N.M.",L 0 - 3,3,1,0,0,0,,,1,1,1,,,,,1.0,,
09/14/2017,UC Davis,L 1 - 3,2,1,0,0,0,,,,,,,,,,,,
09/15/2017,Houston Baptist,L 2 - 3,4,1,0,0,0,,,,,1,,,,,,,
09/16/2017,Lamar University,W 3 - 0,1,1,0,0,1,,,,,1,,,,,,,
09/16/2017,Arizona St.,L 0 - 3,1,1,0,0,0,,,,1,,,,,,,,
09/22/2017,Troy,W 3 - 1,3,1,0,0,0,,3,2,,3,,,,,2.0,,
09/23/2017,South Alabama,L 1 - 3,4,1,0,0,0,,3,,2,3,,,,,,,
09/29/2017,@ Coastal Carolina,L 0 - 3,3,1,0,0,1,,,,1,1,1,,,,,,
10/01/2017,@ App State,W 3 - 0,3,1,0,0,0,,,,,,,,,,,,
10/06/2017,@ Arkansas St.,L 0 - 3,2,1,0,0,1,,3,,,7,,,,,,1,
10/07/2017,@ Little Rock,L 2 - 3,5,1,0,0,2,,25,,,13,1,,,,,3,
10/13/2017,@ Texas St.,L 0 - 3,3,1,0,0,2,,12,,,5,,,,,,1,
10/20/2017,Georgia St.,W 3 - 1,4,1,2,0,2,1.000,18,,,6,,,,,2.0,2,
10/21/2017,Ga. Southern,W 3 - 1,4,1,0,0,0,,21,1,1,4,,,,,1.0,3,
10/26/2017,@ Louisiana,L 0 - 3,3,1,1,1,3,,13,,,5,,,,,1.0,,
10/28/2017,@ ULM,W 3 - 0,3,1,2,0,2,1.000,8,2,1,9,,,,,4.0,6/,
11/03/2017,Little Rock,W 3 - 1,4,1,1,1,3,,14,,,10,,,,,1.0,2,
11/04/2017,Arkansas St.,L 1 - 3,3,1,0,0,0,,10,,,2,,,1,,0.5,2,
11/06/2017,Texas St.,L 2 - 3,1,1,0,0,0,,,,,,,,,,,,
11/10/2017,ULM,W 3 - 2,1,1,0,0,0,,,1,,1,,,,,1.0,,
11/12/2017,Louisiana,L 1 - 3,3,1,0,0,0,,,,1,2,,,,,,,
11/16/2017,"App State @ Jonesboro, Ark.",L 2 - 3,1,1,0,0,0,,,,,,,,,,,,
