0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/31/2018,"New Hampshire @ Storrs, Conn.",W 3 - 0,,1,1,0,0,0,,3,,,,,,,,,,
09/01/2018,@ UConn,W 3 - 2,,5,1,3,0,9,0.333,35,,1,1,,,2,,4.0,,
09/07/2018,"BYU @ Milwaukee, Wis.",L 0 - 3,,1,1,0,0,0,,1,,,,,,,,,,
09/08/2018,"Southern California @ Milwaukee, Wis.",L 2 - 3,,3,1,0,1,3,-0.333,11,1,1,4,,,1,,1.5,,
09/09/2018,@ Marquette,L 1 - 3,,4,1,4,2,9,0.222,39,,1,10,,,1,1,4.5,2,
09/14/2018,"Wyoming @ Ames, Iowa",W 3 - 2,,5,1,4,0,4,1.000,39,,2,11,,,1,,4.5,,
09/15/2018,"Iowa @ Ames, Iowa",L 2 - 3,,1,1,0,1,1,-1.000,,,,,,,,,,,
09/16/2018,@ Iowa St.,W 3 - 2,,1,1,0,0,0,,2,,,,,,,,,,
09/21/2018,Georgia Tech,W 3 - 0,,1,1,0,0,0,,,,,,,,1,,0.5,,
09/23/2018,Clemson,W 3 - 1,,2,1,0,0,0,,7,,1,,,,,,,1,
09/28/2018,@ Wake Forest,W 3 - 1,,2,1,0,0,0,,5,,,,,,,,,2,
09/30/2018,@ Duke,W 3 - 1,,2,1,0,0,0,,3,,,1,,,,,,,
10/05/2018,@ Pittsburgh,L 1 - 3,,2,1,1,0,1,1.000,4,,,,,,2,,2.0,1,
10/07/2018,@ Virginia,W 3 - 0,,,,,,,,,,,,,,,,,,
10/12/2018,Miami (FL),W 3 - 1,,,,,,,,,,,,,,,,,,
10/14/2018,Florida St.,L 2 - 3,,,,,,,,,,,,,,,,,,
10/19/2018,North Carolina,W 3 - 0,,,,,,,,,,,,,,,,,,
10/21/2018,NC State,W 3 - 1,,,,,,,,,,,,,,,,,,
10/26/2018,@ Notre Dame,L 0 - 3,,2,1,0,0,0,,8,,,,,,1,1,0.5,,
10/28/2018,@ Louisville,W 3 - 2,,,,,,,,,,,,,,,,,,
10/31/2018,Boston College,W 3 - 1,,1,1,0,0,0,,1,,,,,,,,,,
11/02/2018,@ Virginia Tech,W 3 - 1,,1,1,0,0,0,,,,,,,,,,,,
11/11/2018,@ Georgia Tech,W 3 - 0,,,,,,,,,,,,,,,,,,
11/18/2018,Virginia Tech,W 3 - 0,,2,1,0,0,0,,13,,,3,,,,,,1,
11/21/2018,@ NC State,L 0 - 3,,2,1,0,0,0,,7,,1,1,,,,,,,
11/24/2018,Wake Forest,W 3 - 1,,1,1,0,0,0,,2,,,4,,,,,,2,
11/30/2018,Yale,W 3 - 0,,,,,,,,,,,,,,,,,,
12/01/2018,@ Penn St.,L 0 - 3,,,,,,,,,,,,,,,,,,
