0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,@ Tennessee,L 1 - 3,3,1,3,0,6,0.500,24,1,,7,,,3,,5.5,,
08/27/2016,"Middle Tenn. @ Knoxville, Tenn.",W 3 - 1,4,1,3,1,7,0.286,31,2,1,9,,,6,,8.0,,
08/27/2016,"ULM @ Knoxville, Tenn.",W 3 - 0,3,1,3,2,7,0.143,29,1,1,7,,,2,,5.0,,
09/02/2016,@ Wichita St.,W 3 - 1,3,1,0,0,1,,2,,,2,,,,,,,
09/03/2016,"Marquette @ Wichita, Kan.",L 1 - 3,3,1,0,0,0,,,,,1,,,,,,,
09/03/2016,"IUPUI @ Wichita, Kan.",W 3 - 0,2,1,1,0,1,1.000,4,,,,,,1,,1.5,,
09/09/2016,@ Western Ky.,L 0 - 3,3,1,0,0,4,,6,,,,,,1,,0.5,1,
09/09/2016,"Michigan St. @ Bowling Green, Ky.",L 0 - 3,2,1,0,0,1,,,,,,,,,,,,
09/10/2016,"Southern Ill. @ Bowling Green, Ky.",L 2 - 3,1,1,1,1,2,,1,,,,,,,,1.0,,
09/14/2016,Miami (OH),L 0 - 3,1,1,0,0,1,,4,,,2,,,1,,0.5,,
09/17/2016,Furman,W 3 - 0,,,,,,,,,,,,,,,,,
09/22/2016,@ Tulsa,W 3 - 2,,,,,,,,,,,,,,,,,
09/24/2016,@ SMU,L 2 - 3,,,,,,,,,,,,,,,,,
09/30/2016,South Fla.,W 3 - 0,,,,,,,,,,,,,,,,,
10/02/2016,UCF,W 3 - 1,,,,,,,,,,,,,,,,,
10/05/2016,@ East Carolina,W 3 - 0,2,1,1,1,2,,,,,,,,,,1.0,,
10/09/2016,Memphis,W 3 - 0,1,1,0,0,0,,2,,,4,,,,,,,
10/13/2016,@ Houston,W 3 - 0,,,,,,,,,,,,,,,,,
10/15/2016,@ Tulane,W 3 - 2,4,1,0,0,0,,,,,8,,,,,,,
10/21/2016,UConn,W 3 - 2,2,1,0,0,2,,3,,1,2,,,,,,,
10/23/2016,Temple,L 0 - 3,3,1,2,0,3,0.667,7,,,3,1,,,,2.0,1,
10/27/2016,@ UCF,W 3 - 2,2,1,0,1,2,-0.500,,,,1,,,,1,,,
10/29/2016,@ South Fla.,W 3 - 0,2,1,0,0,1,,,,,1,,,,,,,
11/04/2016,SMU,W 3 - 0,,,,,,,,,,,,,,,,,
11/06/2016,Tulsa,L 1 - 3,,,,,,,,,,,,,,,,,
11/11/2016,@ Temple,W 3 - 2,,,,,,,,,,,,,,,,,
11/13/2016,@ UConn,W 3 - 0,,,,,,,,,,,,,,,,,
11/17/2016,Tulane,W 3 - 0,,,,,,,,,,,,,,,,,
11/19/2016,Houston,W 3 - 0,,,,,,,,,,,,,,,,,
11/23/2016,East Carolina,W 3 - 0,1,1,0,0,0,,,,,,,,,,,,
11/25/2016,@ Memphis,W 3 - 1,1,1,0,0,0,,,,,1,,,1,,0.5,,
12/02/2016,"Florida St. @ Gainesville, Fla.",L 1 - 3,1,1,0,0,0,,,,,,,,,,,,
