0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,"LMU (CA) @ Philadelphia, PA",L 0 - 3,,,,,,,,,,,,,,,,,,
08/24/2018,@ Temple,L 1 - 3,,,,,,,,,,,,,,,,,,
08/25/2018,"Hofstra @ Philadelphia, PA",L 0 - 3,,2,1,1,1,3,,,,,,,,1,,1.5,,
08/31/2018,"Drake @ Worcester, Mass.",L 0 - 3,,,,,,,,,,,,,,,,,,
08/31/2018,"Columbia @ Worcester, Mass.",W 3 - 2,,,,,,,,,,,,,,,,,,
09/01/2018,@ Holy Cross,W 3 - 2,,,,,,,,,,,,,,,,,,
09/07/2018,Army West Point,W 3 - 0,,,,,,,,,,,,,,,,,,
09/07/2018,New Hampshire,W 3 - 1,,,,,,,,,,,,,,,,,,
09/08/2018,Yale,L 0 - 3,,1,1,1,3,6,-0.333,,,,,,,1,,1.5,,
09/14/2018,"Binghamton @ Fairfield, Conn.",W 3 - 0,,1,1,2,0,2,1.000,,,,,,,,,2.0,,
09/15/2018,"NJIT @ Fairfield, Conn.",W 3 - 1,,2,1,7,4,15,0.200,1,,,2,,,1,,7.5,,
09/15/2018,@ Sacred Heart,L 2 - 3,,5,1,10,6,24,0.167,,,,2,,,3,,11.5,,
09/22/2018,@ Fordham,L 2 - 3,,5,1,10,8,28,0.071,,,,,,,2,,11.0,,
09/28/2018,La Salle,L 0 - 3,,,,,,,,,,,,,,,,,,
09/29/2018,Duquesne,W 3 - 0,,,,,,,,,,,,,,,,,,
10/05/2018,@ George Washington,L 0 - 3,,,,,,,,,,,,,,,,,,
10/06/2018,@ George Mason,L 2 - 3,,,,,,,,,,,,,,,,,,
10/12/2018,@ Saint Louis,L 0 - 3,,2,1,1,0,4,0.250,,,,2,,,,,1.0,,
10/14/2018,@ Dayton,L 0 - 3,,2,1,5,1,10,0.400,,,,,,,,,5.0,,
10/19/2018,VCU,L 1 - 3,,4,1,8,7,27,0.037,,,,2,,,1,,8.5,,
10/21/2018,Davidson,L 2 - 3,,2,1,4,3,11,0.091,,,,3,,,,,4.0,,
10/26/2018,@ Duquesne,L 0 - 3,,,,,,,,,,,,,,,,,,
10/28/2018,@ La Salle,L 0 - 3,,2,1,1,0,4,0.250,,,,,,,,,1.0,,
11/03/2018,Fordham,W 3 - 0,,2,1,2,0,5,0.400,,,,,,,1,,2.5,,
11/09/2018,George Mason,W 3 - 0,,1,1,0,0,0,,,,,,,,,,,,
11/10/2018,George Washington,L 2 - 3,,,,,,,,,,,,,,,,,,
