Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"Texas Southern @ Montgomery, AL",W 3 - 0,3.0,5.0,0.0,16.0,0.312,1.0,2.0,2.0,12.0,1.0,0.0,0.0,0.0,7.0
8302019,@ Alabama St.,L 1 - 3,4.0,7.5,3.0,25.0,0.215,0.5,1.5,1.5,11.5,1.0,0.0,1.0,0.0,9.5
8312019,"Alabama A&M @Montgomery, AL",1 - 3,0.0,5.0,2.0,16.666666666666668,0.14333333333333334,0.3333333333333333,1.0,1.0,7.666666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,6.333333333333333
8312019,"Jackson St. @ Montgomery, AL",L 2 - 3,5.0,6.5,3.5,24.5,0.123,0.25,1.5,0.75,10.0,0.75,0.25,1.25,0.5,8.875
9032019,Mercer,L 0 - 3,3.0,6.6,2.8,22.4,0.1984,0.4,1.2,0.6,8.2,0.8,0.2,1.0,0.4,8.5
9062019,"Eastern Mich. @ Lafayette, La",L 1 - 3,4.0,7.5,3.0,25.333333333333332,0.19866666666666666,0.6666666666666666,1.1666666666666667,0.5,8.333333333333334,0.8333333333333334,0.16666666666666666,1.0,0.5,9.333333333333334
9062019,"McNeese @ Lafayette, La.",L 1 - 3,4.0,8.428571428571429,3.0,27.0,0.2127142857142857,0.7142857142857143,1.0,0.42857142857142855,9.142857142857142,0.8571428571428571,0.14285714285714285,1.2857142857142858,0.5714285714285714,10.214285714285714
9072019,@ Louisiana,L 1 - 3,4.0,8.375,4.375,30.75,0.173,0.75,0.875,0.625,9.0,0.75,0.125,1.375,0.75,10.0625
9132019,"St. John's (NY) @ Tallahassee, Fla.",L 0 - 3,3.0,8.11111111111111,4.333333333333333,30.22222222222222,0.16233333333333333,0.6666666666666666,0.8888888888888888,0.5555555555555556,9.11111111111111,0.6666666666666666,0.1111111111111111,1.2222222222222223,0.6666666666666666,9.722222222222221
9142019,Stony Brook,L 1 - 3,4.0,8.5,4.5,30.9,0.16229999999999997,0.8,0.9,0.6,9.2,0.7,0.1,1.2,0.6,10.1
9202019,"Southern U. @ Troy, AL",W 3 - 1,4.0,9.0,5.0,33.0,0.14459999999999998,0.8,0.7,0.7,9.6,0.7,0.1,1.2,0.6,10.4
9212019,"The Citadel @ Troy, AL",L 2 - 3,5.0,9.2,5.3,33.6,0.14029999999999995,0.8,0.6,0.6,10.4,0.6,0.1,1.2,0.6,10.5
9212019,@ Troy,L 0 - 3,3.0,9.6,5.7,35.4,0.14029999999999995,0.8,0.7,0.6,11.0,0.7,0.1,1.2,0.6,11.0
9272019,Norfolk St.,W 3 - 2,5.0,9.6,5.6,34.1,0.14549999999999996,0.9,0.5,1.3,10.4,0.6,0.0,1.0,0.4,10.6
9292019,Howard,L 1 - 3,4.0,9.6,5.7,34.5,0.12879999999999997,0.8,0.6,1.4,11.4,0.6,0.1,1.0,0.5,10.8
10052019,@ Presbyterian,L 0 - 3,3.0,8.7,5.9,32.4,0.09299999999999997,0.6,0.5,1.4,11.1,0.6,0.1,0.9,0.4,9.75
10062019,@ South Carolina St.,3 - 1,0.0,7.3,5.6,28.7,0.06329999999999998,0.5,0.5,1.4,9.7,0.5,0.1,0.6,0.3,8.2
10082019,@ Bethune-Cookman,W 3 - 2,5.0,7.2,5.3,26.5,0.062399999999999976,0.4,0.6,1.2,11.2,0.5,0.1,0.5,0.1,8.15
10112019,N.C. Central,W 3 - 0,0.0,6.6,4.9,23.9,0.054699999999999985,0.4,0.5,1.2,10.2,0.5,0.1,0.5,0.1,7.45
10132019,N.C. A&T,L 1 - 3,0.0,5.4,4.3,20.2,0.03849999999999998,0.2,0.4,1.1,9.2,0.4,0.1,0.4,0.1,6.1
10152019,@ North Florida,L 2 - 3,5.0,5.3,4.2,19.8,0.04019999999999998,0.1,0.6,1.1,8.9,0.4,0.1,0.4,0.2,6.2
10182019,Coppin St.,L 1 - 3,0.0,4.1,3.3,15.8,0.03269999999999998,0.1,0.6,1.1,7.0,0.4,0.1,0.2,0.2,4.9
10202019,Morgan St.,1 - 3,0.0,3.7,2.9,14.0,0.03269999999999998,0.1,0.5,1.1,6.4,0.3,0.1,0.2,0.2,4.4
10252019,@ UMES,W 3 - 2,5.0,3.6,2.9,13.8,0.030399999999999983,0.1,0.5,0.6,6.8,0.4,0.1,0.3,0.2,4.35
10272019,@ Delaware St.,L 0 - 3,3.0,3.7,3.1,14.9,0.01429999999999998,0.3,0.4,0.7,6.4,0.3,0.0,0.5,0.2,4.35
10292019,Alabama St.,W 3 - 0,3.0,4.0,2.7,15.5,0.04609999999999999,0.3,0.4,0.9,6.7,0.2,0.0,0.6,0.2,4.7
10312019,South Carolina St.,W 3 - 1,4.0,4.8,3.6,18.9,0.04319999999999998,0.3,0.5,1.2,7.8,0.3,0.3,0.7,0.4,5.95
11082019,Bethune-Cookman,L 1 - 3,4.0,5.4,2.8,19.9,0.07679999999999998,0.4,0.4,1.4,7.1,0.4,0.3,0.6,0.4,6.4
11152019,@ N.C. Central,W 3 - 2,5.0,7.3,3.3,24.6,0.10659999999999999,0.4,0.6,1.4,9.3,0.5,0.3,0.6,0.4,8.5
11172019,@ N.C. A&T,L 0 - 3,3.0,8.0,4.3,28.0,0.09779999999999998,0.5,0.6,1.4,9.8,0.6,0.3,0.7,0.4,9.25
