Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08242018,"South Dakota @ Milwaukee, Wis.",W 3 - 1,2.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0
08242018,"New Hampshire @ Milwaukee, Wis.",W 3 - 1,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08252018,@ Milwaukee,W 3 - 1,2.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08312018,"Princeton @ Hamilton, NY",L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08312018,@ Colgate,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09012018,"SFA @ Hamilton, NY",W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09072018,"Buffalo @ Fayetteville, Ark.",W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09082018,@ Arkansas,L 0 - 3,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09082018,"Butler @ Fayetteville, Ark.",W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09142018,"UIC @ Chicago, Ill.",W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09152018,@ Loyola Chicago,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09152018,"DePaul @ Chicago, Ill.",W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09212018,@ Indiana,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09222018,@ Purdue,L 1 - 3,3.0,0,0,0,0.0,0,0,0,2,0,0,0,0,0.0
09282018,Nebraska,L 0 - 3,3.0,0,0,0,0.0,0,0,0,2,0,0,0,0,0.0
09302018,Iowa,L 2 - 3,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10032018,Minnesota,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10062018,@ Illinois,L 0 - 3,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10122018,@ Wisconsin,L 0 - 3,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10132018,@ Minnesota,L 0 - 3,1.0,0,0,0,0.0,0,0,1,1,0,0,0,0,0.0
10192018,Michigan St.,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10202018,Michigan,L 0 - 3,2.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0
10242018,@ Iowa,W 3 - 2,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10282018,Ohio St.,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11022018,@ Maryland,L 1 - 3,3.0,0,0,0,0.0,1,0,0,1,0,0,0,0,0.0
11042018,@ Ohio St.,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11092018,Penn St.,L 0 - 3,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11102018,Rutgers,W 3 - 1,1.0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0
11142018,Illinois,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11172018,@ Penn St.,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11212018,@ Michigan,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11232018,Indiana,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
