Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08242018,"Northern Ariz. @ Davis, Calif.",W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08242018,"Holy Cross @ Davis, Calif.",W 3 - 0,1.0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0
08252018,@ UC Davis,L 0 - 3,2.0,0,0,0,0.0,7,0,1,3,0,0,0,0,0.0
08312018,@ Northern Ill.,W 3 - 0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08312018,"Virginia @ DeKalb, Ill.",W 3 - 2,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09012018,"Northern Ky. @ DeKalb, Ill.",W 3 - 0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09072018,@ Sacramento St.,L 1 - 3,2.0,1,0,1,1.0,11,0,0,2,0,0,0,0,1.0
09082018,"Seattle U @ Sacramento, Calif.",W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09082018,"UC Riverside @ Sacramento, Calif.",W 3 - 2,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09132018,@ Saint Mary's (CA),L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09152018,@ Pacific,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09202018,Colorado St.,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09222018,@ Wyoming,L 0 - 3,1.0,0,1,1,-1.0,8,0,0,1,0,0,0,0,0.0
09272018,Boise St.,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09292018,Utah St.,W 3 - 2,2.0,2,0,2,1.0,15,1,2,2,0,0,1,0,3.5
10042018,@ New Mexico,L 2 - 3,5.0,1,0,4,0.25,35,0,3,13,0,0,6,1,4.0
10062018,@ UNLV,L 1 - 3,4.0,1,1,3,0.0,38,0,2,10,0,0,3,1,2.5
10092018,@ San Jose St.,L 1 - 3,4.0,1,0,1,1.0,12,1,1,9,0,0,0,0,2.0
10132018,@ Air Force,L 2 - 3,5.0,1,0,1,1.0,21,0,1,9,0,0,0,0,1.0
10182018,Fresno St.,L 1 - 3,4.0,1,0,1,1.0,19,2,1,7,0,0,0,0,3.0
10202018,San Diego St.,L 1 - 3,4.0,0,0,1,0.0,15,4,2,7,0,0,0,0,4.0
10252018,@ Boise St.,L 0 - 3,3.0,0,0,2,0.0,15,0,2,11,0,0,0,0,0.0
10272018,@ Utah St.,L 0 - 3,3.0,0,0,1,0.0,15,0,1,5,0,0,0,0,0.0
11012018,UNLV,L 2 - 3,5.0,0,1,1,-1.0,22,1,3,7,0,0,0,0,1.0
11032018,New Mexico,L 1 - 3,4.0,0,0,0,0.0,16,1,0,10,0,0,0,0,1.0
11062018,San Jose St.,L 1 - 3,4.0,0,0,0,0.0,20,0,1,14,0,0,0,0,0.0
11082018,Air Force,L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11152018,@ San Diego St.,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11172018,@ Fresno St.,L 0 - 3,1.0,0,0,0,0.0,3,0,0,1,0,0,0,0,0.0
