0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/25/2017,Missouri St.,L 2 - 3,5,1,0,0,0,,2,,,5,1,,,,,,
08/26/2017,"Davidson @ Wilmington, N.C.",L 2 - 3,5,1,0,0,0,,,,1,4,1,,,,,,
08/26/2017,@ UNCW,W 3 - 1,4,1,0,0,0,,1,,3,11,1,,,,,1,
08/27/2017,"Loyola Maryland @ Wilmington, N.C.",W 3 - 1,4,1,0,0,0,,1,2,2,10,,,,,2.0,,
09/01/2017,Towson,L 1 - 3,4,1,0,0,0,,,,1,5,,,,,,,
09/02/2017,ETSU,L 1 - 3,4,1,0,0,0,,1,,,11,,,,,,,
09/02/2017,Virginia,L 1 - 3,4,1,0,0,0,,1,,1,8,1,,,,,,
09/08/2017,"South Dakota St. @ Grand Forks, N.D.",W 3 - 1,4,1,0,0,1,,,4,3,11,1,,,,4.0,,
09/08/2017,"North Dakota @ Grand Forks, N.D.",L 0 - 3,3,1,0,0,0,,2,,,10,,,,,,,
09/09/2017,@ North Dakota St.,L 2 - 3,5,1,0,0,0,,,1,2,12,3,,,,1.0,,
09/09/2017,"George Washington @ Fargo, ND",W 3 - 2,5,1,0,0,1,,1,2,1,14,,,,,2.0,,
09/15/2017,@ Col. of Charleston,L 0 - 3,3,1,0,0,0,,1,,,2,,,,,,,
09/16/2017,"Buffalo @ Charleston, S.C.",L 2 - 3,5,1,0,0,0,,,1,1,14,1,,,,1.0,,
09/16/2017,"Mercer @ Charleston, S.C.",W 3 - 1,4,1,0,0,0,,,,,7,1,,,,,,
09/22/2017,@ Little Rock,W 3 - 2,5,1,0,0,1,,3,1,1,5,,,,,1.0,,
09/23/2017,@ Arkansas St.,L 2 - 3,5,1,0,0,0,,,1,1,11,,,,,1.0,,
09/29/2017,Texas St.,L 0 - 3,3,1,0,0,0,,,,,4,,,,,,,
10/01/2017,UT Arlington,L 0 - 3,1,1,0,0,0,,,,,,,,,,,,
10/06/2017,Georgia St.,L 2 - 3,5,1,0,0,0,,1,4,3,6,,,,,4.0,,
10/08/2017,Ga. Southern,W 3 - 1,4,1,0,0,1,,,2,,9,1,,,,2.0,,
10/13/2017,@ Coastal Carolina,L 1 - 3,4,1,0,0,0,,,,,7,1,,,,,,
10/15/2017,Coastal Carolina,L 2 - 3,5,1,0,0,0,,,1,1,7,,,,,1.0,,
10/20/2017,@ Louisiana,L 0 - 3,3,1,0,0,0,,,,2,11,,,,,,,
10/21/2017,@ ULM,W 3 - 0,3,1,0,0,0,,,,1,8,,,,,,,
10/27/2017,South Alabama,L 2 - 3,5,1,0,0,0,,1,,1,8,2,,,,,,
10/29/2017,Troy,W 3 - 2,5,1,0,0,0,,2,,,7,2,,,,,,
11/03/2017,@ Ga. Southern,W 3 - 2,5,1,0,0,0,,,2,2,14,,,,,2.0,,
11/04/2017,@ Georgia St.,W 3 - 1,4,1,0,0,0,,,2,1,8,,,,,2.0,,
11/10/2017,@ Troy,L 2 - 3,5,1,0,0,1,,2,2,1,6,,,,,2.0,,
11/12/2017,@ South Alabama,L 0 - 3,3,1,0,0,0,,,,,7,2,,,,,,
11/16/2017,"UT Arlington @ Jonesboro, Ark.",W 3 - 2,5,1,0,0,1,,1,1,2,16,,,,,1.0,,
11/17/2017,"Louisiana @ Jonesboro, Ark.",L 0 - 3,3,1,0,0,0,,,3,1,7,,,,,3.0,,
