0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,@ Navy,L 1 - 3,4,1,7,5,17,0.118,,,1,2,,,,,7.0,,
08/27/2016,"Delaware @ Annapolis, Md.",L 0 - 3,3,1,3,1,11,0.182,,1,1,1,,,,,4.0,,
08/27/2016,"Coppin St. @ Annapolis, Md.",W 3 - 0,3,1,6,4,15,0.133,,1,1,1,,,,,7.0,,
08/29/2016,Fresno St.,L 0 - 3,3,1,9,2,15,0.467,,,,2,,,,,9.0,,
09/02/2016,"Siena @ Cambridge, Mass.",W 3 - 2,4,1,4,2,12,0.167,,,,1,,,1,,4.5,,
09/03/2016,@ Boston College,W 3 - 2,3,1,4,1,6,0.500,,,,1,,,1,,4.5,,
09/06/2016,@ Bryant,L 0 - 3,2,1,4,1,7,0.429,,,,,,,,,4.0,,
09/09/2016,"Rutgers @ Philadelphia, Pa.",W 3 - 1,3,1,3,1,13,0.154,,,,1,,,,1,3.0,,
09/10/2016,@ Temple,L 1 - 3,2,1,1,2,6,-0.167,,,,,,,,,1.0,,
09/10/2016,"Cleveland St. @ Philadelphia, Pa.",L 1 - 3,4,1,5,1,14,0.286,,,,,,1,2,,7.0,,
09/13/2016,Harvard,W 3 - 0,2,1,0,3,6,-0.500,1,1,1,,,,1,,1.5,,
09/16/2016,Holy Cross,W 3 - 0,3,1,5,5,21,,,2,1,4,,,4,,9.0,,
09/17/2016,Idaho St.,W 3 - 1,1,1,1,1,4,,,,,,,,,1,1.0,,
09/17/2016,Sacred Heart,L 1 - 3,2,1,1,3,5,-0.400,,,,1,,,1,,1.5,,
09/20/2016,Northeastern,L 1 - 3,,,,,,,,,,,,,,,,,
09/30/2016,UMBC,W 3 - 0,,,,,,,,,,,,,,,,,
10/02/2016,Stony Brook,W 3 - 0,,,,,,,,,,,,,,,,,
10/07/2016,@ Hartford,W 3 - 1,,,,,,,,,,,,,,,,,
10/09/2016,@ UMass Lowell,W 3 - 1,,,,,,,,,,,,,,,,,
10/14/2016,@ Binghamton,L 1 - 3,,,,,,,,,,,,,,,,,
10/16/2016,@ Albany (NY),L 2 - 3,,,,,,,,,,,,,,,,,
10/21/2016,@ Delaware St.,W 3 - 0,1,1,1,0,3,0.333,,,,,,,,,1.0,,
10/22/2016,@ UMES,W 3 - 1,,,,,,,,,,,,,,,,,
10/28/2016,@ Stony Brook,W 3 - 1,,,,,,,,,,,,,,,,,
10/30/2016,@ UMBC,W 3 - 1,,,,,,,,,,,,,,,,,
11/04/2016,UMass Lowell,W 3 - 0,,,,,,,,,,,,,,,,,
11/05/2016,Hartford,W 3 - 0,,,,,,,,,,,,,,,,,
11/11/2016,Albany (NY),W 3 - 0,,,,,,,,,,,,,,,,,
11/13/2016,Binghamton,W 3 - 1,,,,,,,,,,,,,,,,,
11/18/2016,Binghamton,W 3 - 0,,,,,,,,,,,,,,,,,
11/19/2016,Albany (NY),W 3 - 0,,,,,,,,,,,,,,,,,
12/02/2016,@ Nebraska,L 0 - 3,,,,,,,,,,,,,,,,,
