Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8242018,Bradley,W 3 - 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8242018,St. Francis Brooklyn,W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8252018,Hampton,W 3 - 0,2.0,0.6666666666666666,0.0,1.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.8333333333333334
8282018,@ Marshall,L 2 - 3,0.0,0.5,0.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.625
8312018,Mercer,W 3 - 0,1.0,0.4,0.2,1.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.5
8312018,Saint Francis (PA),W 3 - 0,0.0,0.3333333333333333,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.4166666666666667
9012018,Wright St.,L 0 - 3,0.0,0.2857142857142857,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.35714285714285715
9072018,@ Toledo,W 3 - 1,0.0,0.25,0.125,0.75,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.3125
9082018,"Manhattan @ Toledo, Ohio",W 3 - 0,2.0,0.3333333333333333,0.2222222222222222,0.8888888888888888,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.5
9082018,"Duquesne @ Toledo, OH",W 3 - 0,0.0,0.3,0.2,0.8,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.45
9142018,"Penn @ Morgantown, W.Va.",W 3 - 0,0.0,0.2727272727272727,0.18181818181818182,0.7272727272727273,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.4090909090909091
