0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,"Saint Peter's @ Lewisburg, PA",W 3 - 0,,3,1,2,1,6,0.167,37,,1,14,,,,1,2.0,,
08/25/2018,"NJIT @ Lewisburg, Pa.",W 3 - 1,,4,1,9,0,15,0.600,37,2,2,23,,,,1,11.0,,
08/25/2018,@ Bucknell,W 3 - 1,,4,1,2,3,9,-0.111,33,,1,16,,1,,,3.0,,
08/28/2018,@ Kent St.,L 1 - 3,,4,1,1,0,3,0.333,14,2,,8,,,,,3.0,,
08/31/2018,"Bowling Green @ Pittsburgh, PA",L 0 - 3,,3,1,3,1,8,0.250,21,,,8,,,,,3.0,1,
08/31/2018,"UNLV @ Pittsburgh, PA",W 3 - 2,,5,1,4,0,11,0.364,35,2,,17,,,2,1,7.0,,
09/01/2018,@ Duquesne,W 3 - 0,,3,1,4,0,12,0.333,41,,,10,,,3,1,5.5,2,
09/07/2018,@ Virginia,L 0 - 3,,3,1,0,2,4,-0.500,12,,,2,,,,1,,1,
09/08/2018,"UNCW @ Charlottesville, Va.",L 1 - 3,,4,1,4,2,18,0.111,30,1,1,14,,,,,5.0,1,
09/08/2018,"George Mason @ Charlottesville, Va.",W 3 - 1,,4,1,2,3,9,-0.111,31,2,1,6,,,,,4.0,1,
09/11/2018,@ Robert Morris,L 1 - 3,,3,1,0,1,3,-0.333,10,1,,2,,,,1,1.0,2,
09/14/2018,@ Akron,L 1 - 3,,,,,,,,,,,,,,,,,,
09/15/2018,"Toledo @ Akron, Ohio",L 2 - 3,,,,,,,,,,,,,,,,,,
09/21/2018,@ Cleveland St.,L 0 - 3,,,,,,,,,,,,,,,,,,
09/22/2018,@ Oakland,L 0 - 3,,,,,,,,,,,,,,,,,,
09/28/2018,Wright St.,W 3 - 1,,,,,,,,,,,,,,,,,,
09/29/2018,IUPUI,L 0 - 3,,,,,,,,,,,,,,,,,,
10/03/2018,Northern Ky.,L 0 - 3,,,,,,,,,,,,,,,,,,
10/05/2018,@ UIC,L 0 - 3,,,,,,,,,,,,,,,,,,
10/12/2018,@ Milwaukee,L 0 - 3,,2,1,0,0,0,,5,,,2,,,,,,1,
10/13/2018,@ Green Bay,L 0 - 3,,2,1,0,0,0,,6,,,1,,,,,,,
10/19/2018,Cleveland St.,L 0 - 3,,3,1,1,2,4,-0.250,17,1,,4,,,,,2.0,,
10/20/2018,Oakland,L 2 - 3,,5,1,0,0,2,,24,1,,11,,,,,1.0,1,
10/26/2018,Green Bay,L 0 - 3,,3,1,2,0,3,0.667,21,,1,7,,,,1,2.0,,
10/27/2018,Milwaukee,L 1 - 3,,4,1,4,1,13,0.231,42,,,11,,,,,4.0,,
10/31/2018,@ Northern Ky.,L 0 - 3,,3,1,1,0,4,0.250,14,1,,7,,,,,2.0,,
11/04/2018,UIC,L 1 - 3,,4,1,1,0,5,0.200,23,,,15,,,,,1.0,,
11/09/2018,@ IUPUI,L 0 - 3,,3,1,2,0,6,0.333,14,,1,9,,,,,2.0,1,
11/10/2018,@ Wright St.,L 1 - 3,,4,1,0,0,5,,17,1,1,5,,,,,1.0,,
