0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,"Illinois St. @ Athens, Ga.",L 1 - 3,,,,,,,,,,,,,,,,,,
08/25/2018,@ Georgia,L 0 - 3,,1,1,0,0,1,,,,,,,,,,,,
08/25/2018,"Coastal Carolina @ Athens, Ga.",L 1 - 3,,,,,,,,,,,,,,,,,,
08/31/2018,"Marshall @ Chicago, Ill.",L 2 - 3,,,,,,,,,,,,,,,,,,
08/31/2018,@ Loyola Chicago,L 0 - 3,,,,,,,,,,,,,,,,,,
09/01/2018,"Georgia St. @ Chicago, Ill.",W 3 - 0,,,,,,,,,,,,,,,,,,
09/07/2018,"USC Upstate @ Jacksonville, Fla.",W 3 - 1,,2,1,0,0,0,,,,,,,,,,,,
09/08/2018,"New Mexico @ Jacksonville, Fla.",W 3 - 2,,,,,,,,,,,,,,,,,,
09/08/2018,@ North Florida,W 3 - 1,,3,1,0,0,0,,1,1,,2,,,,,1.0,,
09/13/2018,App State,L 1 - 3,,3,1,0,0,0,,,,,,,,,,,,
09/14/2018,Winthrop,L 1 - 3,,,,,,,,,,,,,,,,,,
09/21/2018,@ Samford,L 1 - 3,,2,1,0,0,0,,,,,1,,,,,,,
09/22/2018,@ Chattanooga,L 0 - 3,,,,,,,,,,,,,,,,,,
09/28/2018,Mercer,W 3 - 0,,,,,,,,,,,,,,,,,,
09/29/2018,The Citadel,W 3 - 0,,2,1,0,0,0,,,,,4,,,,,,,
10/05/2018,@ Western Caro.,L 1 - 3,,4,1,0,0,0,,,,2,1,,,,,,,
10/06/2018,@ ETSU,L 1 - 3,,4,1,0,0,1,,,,1,6,,,,,,,
10/10/2018,@ Wofford,W 3 - 0,,3,1,0,0,0,,1,,1,11,1,,,,,,
10/12/2018,UNC Greensboro,W 3 - 0,,2,1,0,0,0,,,,,3,,,,,,,
10/19/2018,Samford,L 2 - 3,,,,,,,,,,,,,,,,,,
10/20/2018,Chattanooga,W 3 - 0,,,,,,,,,,,,,,,,,,
10/26/2018,@ The Citadel,L 2 - 3,,,,,,,,,,,,,,,,,,
10/27/2018,@ Mercer,W 3 - 1,,,,,,,,,,,,,,,,,,
11/02/2018,ETSU,L 1 - 3,,,,,,,,,,,,,,,,,,
11/03/2018,Western Caro.,W 3 - 1,,,,,,,,,,,,,,,,,,
11/07/2018,Wofford,W 3 - 2,,,,,,,,,,,,,,,,,,
11/10/2018,@ UNC Greensboro,L 1 - 3,,,,,,,,,,,,,,,,,,
11/16/2018,"UNC Greensboro @ Greensboro, N.C.",W 3 - 0,,,,,,,,,,,,,,,,,,
11/17/2018,"Samford @ Greensboro, N.C.",L 0 - 3,,,,,,,,,,,,,,,,,,
