Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08302019,@ Charlotte,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08302019,"Eastern Ky. @ Charlotte, N.C.",L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08312019,"Kent St. @ Charlotte, N.C.",L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09062019,@ Memphis,L 0 - 3,3.0,1,0,2,0.5,2,0,0,0,0,0,0,0,1.0
09062019,"UT Martin @ Memphis, TN",L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09072019,"Ark.-Pine Bluff @ Memphis, TN",W 3 - 0,1.0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0
09132019,"Alabama A&M @ Spartanburg, SC",L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09132019,"N.C. A&T @ Spartanburg, SC",L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09142019,@ Wofford,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09202019,East Carolina,L 1 - 3,2.0,0,0,0,0.0,1,0,1,1,2,0,0,0,0.0
09212019,Alabama A&M,W 3 - 1,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09272019,Charleston So.,L 0 - 3,1.0,0,0,1,0.0,2,0,1,1,0,0,0,0,0.0
09282019,Presbyterian,L 0 - 3,2.0,0,0,0,0.0,3,0,0,1,0,0,0,0,0.0
10042019,@ USC Upstate,L 0 - 3,2.0,0,0,0,0.0,2,0,0,1,0,0,0,0,0.0
10052019,@ UNC Asheville,L 0 - 3,3.0,0,0,0,0.0,2,0,1,1,1,0,0,0,0.0
10112019,Winthrop,L 0 - 3,3.0,1,0,5,0.2,10,1,1,5,0,0,0,0,2.0
10182019,Radford,L 0 - 3,3.0,1,0,1,1.0,13,0,1,4,0,0,0,0,1.0
10192019,High Point,L 0 - 3,3.0,0,0,0,0.0,9,0,0,1,0,0,0,0,0.0
10252019,@ Charleston So.,L 0 - 3,3.0,0,0,3,0.0,23,0,1,10,0,0,0,0,0.0
10262019,@ Presbyterian,L 0 - 3,3.0,0,0,0,0.0,11,0,0,3,0,0,0,0,0.0
11012019,@ Campbell,L 1 - 3,4.0,1,0,3,0.33299999999999996,13,0,1,2,0,0,0,0,1.0
11022019,@ Hampton,W 3 - 1,4.0,2,0,5,0.4,9,1,0,3,0,0,0,0,3.0
11082019,UNC Asheville,L 0 - 3,3.0,0,1,2,-0.5,16,1,1,3,0,0,0,0,1.0
11092019,USC Upstate,L 1 - 3,4.0,0,0,0,0.0,14,1,0,6,0,0,0,0,1.0
11152019,@ Winthrop,L 0 - 3,2.0,0,0,1,0.0,10,0,1,4,0,0,0,0,0.0
