0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,"Rutgers @ Smithfield, R.I.",L 1 - 3,4,1,3,4,17,-0.059,,2,2,4,2,,1,,5.5,,
08/26/2016,"Hartford @ Smithfield, R.I.",W 3 - 2,5,1,13,2,37,0.297,1,1,2,14,,,2,,15.0,,
08/27/2016,@ Bryant,L 0 - 3,2,1,2,2,17,,1,,3,4,2,,1,,2.5,,
08/31/2016,St. Francis Brooklyn,W 3 - 1,,,,,,,,,,,,,,,,,
09/02/2016,"American @ Princess Anne, Md.",L 0 - 3,,,,,,,,,,,,,,,,,
09/02/2016,"South Carolina St. @ Princess Anne, Md.",W 3 - 0,,,,,,,,,,,,,,,,,
09/03/2016,"Navy @ Princess Anne, Md.",L 0 - 3,3,1,7,3,22,0.182,,,,,,,1,,7.5,,
09/03/2016,@ UMES,L 0 - 3,3,1,10,4,24,0.250,,,1,6,,,,1,10.0,,
09/09/2016,@ Boston College,L 2 - 3,,,,,,,,,,,,,,,,,
09/10/2016,UMass Lowell,W 3 - 0,,,,,,,,,,,,,,,,,
09/10/2016,"Fairleigh Dickinson @ Chestnut Hill, Mass.",W 3 - 0,,,,,,,,,,,,,,,,,
09/17/2016,Quinnipiac,L 2 - 3,1,1,0,2,3,-0.667,,,,,,,,,,,
09/18/2016,Fairfield,L 1 - 3,3,1,1,1,3,,,,,2,,,,,1.0,,
09/21/2016,Fairleigh Dickinson,W 3 - 0,3,1,5,3,15,0.133,1,,,3,,,,,5.0,,
09/24/2016,@ Niagara,L 1 - 3,,,,,,,,,,,,,,,,,
09/25/2016,@ Canisius,W 3 - 0,3,1,7,4,23,0.130,,,,3,,,1,,7.5,,
09/28/2016,@ Manhattan,L 0 - 3,1,1,1,1,3,,1,,1,1,,,,,1.0,,
10/01/2016,@ Saint Peter's,W 3 - 0,2,1,2,2,6,,,,,,,,,,2.0,,
10/08/2016,@ Marist,L 1 - 3,4,1,9,9,46,,1,3,,10,1,,,,12.0,,
10/09/2016,@ Siena,W 3 - 2,5,1,7,6,31,0.032,3,,,5,,,1,3,7.5,,
10/15/2016,Manhattan,W 3 - 0,3,1,6,2,16,0.250,1,,,5,,,2,,7.0,,
10/16/2016,Iona,W 3 - 1,4,1,6,3,16,0.188,,,,3,1,,2,,7.0,,
10/22/2016,Canisius,W 3 - 1,4,1,6,5,20,0.050,,,,3,,,,,6.0,,
10/23/2016,Niagara,W 3 - 0,3,1,9,5,23,0.174,,,,1,,,,,9.0,,
10/29/2016,@ Fairfield,L 0 - 3,3,1,7,5,22,0.091,,,,3,1,,1,1,7.5,,
10/30/2016,@ Quinnipiac,L 1 - 3,4,1,11,6,32,0.156,,,,4,1,,,,11.0,,
11/02/2016,@ Iona,W 3 - 2,4,1,1,1,7,,,,,1,,1,1,,2.5,,
11/05/2016,Saint Peter's,W 3 - 0,2,1,3,2,12,0.083,,,,2,,,,,3.0,,
11/12/2016,Siena,W 3 - 1,3,1,2,6,13,-0.308,,,,2,1,,,,2.0,,
11/13/2016,Marist,W 3 - 0,2,1,0,0,2,,,,,,,,,,,,
11/18/2016,"Siena @ Fairfield, Conn.",L 0 - 3,2,1,1,1,4,,,,,,,,1,,1.5,,
