0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,"Montana @ Dallas, Texas",L 2 - 3,5,1,0,0,0,,,1,2,6,2,,,,1.0,,
08/26/2016,"UTSA @ Dallas, Texas",L 0 - 3,3,1,0,0,0,,,,,,4,,,,,,
08/27/2016,@ SMU,L 0 - 3,3,1,0,0,0,,,,,3,,,,,,,
09/01/2016,Oklahoma,L 1 - 3,4,1,0,0,0,,1,1,,3,2,,,,1.0,,
09/02/2016,Ark.-Pine Bluff,W 3 - 0,3,1,0,0,0,,,,,7,,,,,,,
09/02/2016,Mississippi St.,L 1 - 3,4,1,0,0,0,,,,1,4,4,,,,,,
09/03/2016,UT Martin,W 3 - 0,3,1,0,0,0,,2,,,4,,,,,,,
09/08/2016,@ Florida A&M,W 3 - 1,4,1,0,0,0,,,1,1,7,,,,,1.0,,
09/09/2016,"Baylor @ Tallahassee, Fla.",L 0 - 3,3,1,0,0,0,,,,,1,1,,,,,,
09/09/2016,@ Florida St.,L 0 - 3,3,1,0,0,1,,,,,3,,,,,,,
09/16/2016,"UIW @ Nacogdoches, Texas",W 3 - 2,5,1,0,0,0,,,,,5,1,,,,,,
09/17/2016,@ SFA,L 0 - 3,3,1,0,0,0,,,1,1,6,,,,,1.0,,
09/17/2016,"North Texas @ Nacogdoches, Texas",L 1 - 3,4,1,0,0,0,,2,1,,6,2,,,,1.0,,
09/23/2016,@ Coastal Carolina,L 0 - 3,3,1,0,0,0,,,,,6,2,,,,,,
09/25/2016,@ App State,W 3 - 0,3,1,0,0,0,,1,,1,3,,,,,,,
09/30/2016,Louisiana,L 2 - 3,5,1,0,0,0,,2,,,13,1,,,,,,
10/01/2016,ULM,W 3 - 0,3,1,0,0,0,,,,1,4,,,,,,,
10/07/2016,@ UT Arlington,L 1 - 3,4,1,0,0,1,,,,,1,1,,,,,,
10/08/2016,@ Texas St.,L 0 - 3,3,1,0,0,0,,1,,,5,,,,,,,
10/14/2016,@ ULM,W 3 - 2,5,1,0,0,2,,,1,1,11,,,,,1.0,,
10/16/2016,@ Louisiana,W 3 - 2,5,1,1,0,1,1.000,,2,1,11,4,,,,3.0,,
10/21/2016,Troy,W 3 - 1,4,1,0,0,0,,1,,,9,3,,,,,,
10/22/2016,South Alabama,L 1 - 3,4,1,0,0,0,,,,1,3,,,,,,,
10/24/2016,@ Arkansas St.,L 0 - 3,3,1,0,0,0,,,,1,7,,,,,,,
10/28/2016,@ Georgia St.,W 3 - 0,3,1,0,0,0,,,,,6,1,,,,,,
10/29/2016,@ Ga. Southern,W 3 - 2,5,1,0,0,0,,1,,2,14,,,,,,,
11/04/2016,Texas St.,W 3 - 1,4,1,0,0,0,,2,1,,14,2,,,,1.0,,
11/06/2016,UT Arlington,L 2 - 3,5,1,1,0,1,1.000,1,,1,17,1,,,,1.0,,
11/11/2016,Arkansas St.,L 1 - 3,4,1,0,1,1,-1.000,,,,9,,,,,,,
11/18/2016,@ UT Arlington,L 0 - 3,3,1,0,1,1,-1.000,,1,,10,2,,,,1.0,,
