Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,Montana,W 3 - 0,3.0,13.0,0.0,16.0,0.812,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0
8302019,San Jose St.,W 3 - 0,3.0,10.0,0.5,14.0,0.656,0.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,10.5
8312019,Pacific,W 3 - 0,3.0,9.333333333333334,1.3333333333333333,15.666666666666666,0.525,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333,0.0,10.0
9032019,Sacramento St.,W 3 - 1,4.0,10.5,2.5,18.5,0.46775000000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,11.25
9062019,"Utah @ Orem, UT",L 0 - 3,3.0,10.2,3.2,19.0,0.40280000000000005,0.0,0.0,0.0,1.2,0.0,0.0,1.2,0.0,10.8
9062019,@ Utah Valley,L 0 - 3,3.0,10.0,3.1666666666666665,18.666666666666668,0.3945,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,1.0,0.0,10.5
9072019,"Portland St. @ Orem, UT",W 3 - 0,3.0,10.571428571428571,3.4285714285714284,19.285714285714285,0.394,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,1.1428571428571428,0.0,11.142857142857142
9132019,@ South Dakota,L 0 - 3,3.0,10.125,4.0,19.625,0.339125,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.625
9132019,"Iowa @ Vermillion, SD",L 1 - 3,4.0,10.444444444444445,4.333333333333333,21.22222222222222,0.321,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.8888888888888888,0.1111111111111111,10.88888888888889
9142019,"Wyoming @ Vermillion, SD",W 3 - 2,5.0,11.5,4.8,23.2,0.31820000000000004,0.0,0.0,0.0,1.1,0.0,0.0,1.0,0.2,12.0
9202019,"Fresno St. @ Bakersfield, CA",W 3 - 1,4.0,11.636363636363637,4.909090909090909,23.272727272727273,0.31581818181818183,0.0,0.0,0.0,1.1818181818181819,0.0,0.0,1.0,0.18181818181818182,12.136363636363637
9212019,@ CSU Bakersfield,L 1 - 3,4.0,11.833333333333334,4.833333333333333,23.75,0.31825,0.08333333333333333,0.0,0.0,1.0833333333333333,0.0,0.0,1.0833333333333333,0.16666666666666666,12.375
9212019,"San Francisco @ Bakersfield, CA",W 3 - 0,3.0,12.076923076923077,4.769230769230769,24.76923076923077,0.3166153846153846,0.07692307692307693,0.0,0.0,1.0769230769230769,0.0,0.0,1.2307692307692308,0.23076923076923078,12.692307692307692
9242019,UC Irvine,W 3 - 2,5.0,11.928571428571429,4.928571428571429,25.214285714285715,0.30092857142857143,0.07142857142857142,0.0,0.0,1.0714285714285714,0.0,0.0,1.2857142857142858,0.21428571428571427,12.571428571428571
