0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,"Indiana @ Las Vegas, Nev.",L 1 - 3,,4,1,7,2,18,0.278,,,,1,,2,3,,10.5,,
08/24/2018,"Southern Utah @ Las Vegas, Nev.",W 3 - 0,,3,1,5,2,10,0.300,,,,3,1,1,3,,7.5,1,
08/25/2018,@ UNLV,L 0 - 3,,3,1,3,2,8,0.125,,,,2,,,1,1,3.5,,
08/31/2018,"Wyoming @ Portland, Ore.",L 0 - 3,,1,1,1,1,4,,,,,,,,,,1.0,,
08/31/2018,"Montana St. @ Portland, Ore.",W 3 - 2,,1,1,2,2,4,,,,,,,,,,2.0,,
09/01/2018,@ Portland,L 0 - 3,,1,1,1,0,2,0.500,,,,,,,,,1.0,,
09/07/2018,Holy Cross,W 3 - 1,,,,,,,,,,,,,,,,,,
09/07/2018,South Fla.,L 1 - 3,,2,1,1,0,2,0.500,,,,1,,,1,,1.5,,
09/08/2018,George Washington,L 2 - 3,,,,,,,,,,,,,,,,,,
09/21/2018,@ Fairleigh Dickinson,W 3 - 0,,3,1,4,1,12,0.250,,,,2,,,2,,5.0,,
09/22/2018,@ Sacred Heart,W 3 - 0,,3,1,3,3,10,,,,,2,,3/,4,,8.0,,
09/28/2018,Bryant,W 3 - 1,,1,1,0,3,5,-0.600,,,,,,1,1,1,1.5,,
09/29/2018,Central Conn. St.,W 3 - 1,,,,,,,,,,,,,,,,,,
10/05/2018,@ Saint Francis (PA),W 3 - 2,,2,1,0,1,3,-0.333,,,,,,,1,,0.5,,
10/06/2018,@ Robert Morris,W 3 - 1,,2,1,1,0,1,1.000,,,,,,,3,,2.5,,
10/12/2018,St. Francis Brooklyn,W 3 - 0,,3,1,2,1,8,0.125,,2,3,3,,,4,1,6.0,,
10/19/2018,Fairleigh Dickinson,W 3 - 0,,1,1,1,0,3,0.333,,,,,,,1,,1.5,,
10/20/2018,Sacred Heart,W 3 - 2,,2,1,3,1,4,0.500,,,,,,1,3,1,5.5,,
10/26/2018,Saint Francis (PA),W 3 - 0,,3,1,2,1,11,0.091,,,,1,,1,3,,4.5,,
10/27/2018,Robert Morris,L 1 - 3,,3,1,2,1,4,0.250,,,,,,,,1,2.0,,
11/02/2018,@ St. Francis Brooklyn,W 3 - 1,,3,1,3,0,4,0.750,,,,1,,,5,,5.5,,
11/09/2018,@ Bryant,W 3 - 2,,5,1,4,1,11,0.273,1,,,,,1,7,1,8.5,,
11/10/2018,@ Central Conn. St.,L 1 - 3,,3,1,5,6,11,-0.091,,,1,1,,2,2,,8.0,,
11/16/2018,Sacred Heart,L 0 - 3,,,,,,,,,,,,,,,,,,
