0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,"UC Santa Barbara @ Las Vegas, Nev.",L 2 - 3,5,,75,37,203,0.187,69,4,8,82,2,1,10,5,85.0,1,
08/26/2016,Albany (NY) @ Cox Pavilion,W 3 - 0,3,,49,14,122,0.287,45,7,5,62,1,2,6,2,61.0,,
08/27/2016,@ UNLV,L 0 - 3,3,,34,20,96,0.146,34,1,8,47,3,2,2,1,38.0,2,
09/02/2016,"Valparaiso @ Troy, Ala.",W 3 - 0,3,,49,14,121,0.289,42,6,7,62,,,12,,61.0,2,
09/02/2016,"Austin Peay @ Troy, Ala.",W 3 - 1,4,,55,17,130,0.292,45,8,14,57,1,1,12,2,70.0,4,
09/03/2016,@ Troy,W 3 - 0,3,,39,15,86,0.279,34,7,9,32,1,1,8,1,51.0,3,
09/03/2016,"Southern U. @ Troy, Ala.",W 3 - 0,3,,42,7,82,0.427,40,4,8,30,3,,14,3,53.0,1,
09/09/2016,@ Sacramento St.,W 3 - 2,5,,63,30,181,0.182,60,5,5,80,1,2,22,8,81.0,,
09/09/2016,Texas A&M,L 0 - 3,3,,29,28,97,0.010,27,4,6,26,3,,4,,35.0,,
09/10/2016,Arizona,L 1 - 3,4,,56,24,144,0.222,51,4,10,58,7,1,6,2,64.0,3,
09/16/2016,"Central Conn. St. @ Providence, R.I.",W 3 - 0,3,,55,23,124,0.258,52,5,5,58,2,1,4,4,63.0,1,
09/17/2016,"Binghamton @ Providence, R.I.",W 3 - 1,4,,56,24,141,0.227,54,6,9,63,2,1,14,5,70.0,3,
09/17/2016,@ Brown,W 3 - 0,3,,48,7,82,0.500,46,5,9,46,1,2,16,4,63.0,,
09/22/2016,Seattle U,W 3 - 2,5,,64,34,145,0.207,60,6,11,50,3,2,12,2,78.0,1,
09/24/2016,Utah Valley,W 3 - 2,5,,67,42/,214/,0.117,65,5,4,86,4,1,10,3,78.0,2,
09/29/2016,@ CSU Bakersfield,W 3 - 0,3,,41,18,103,0.223,40,4,5,50,9,,18,2,54.0,,
10/01/2016,@ Grand Canyon,W 3 - 0,3,,50,22,99,0.283,44,8,8,26,4,,16,2,66.0,1,
10/05/2016,UTEP,W 3 - 0,3,,50,20,135,0.222,47,6,5,58,6,,16,,64.0,4,
10/08/2016,UTRGV,W 3 - 0,3,,43,16,114,0.237,39,4,4,34,2,3,12,,56.0,,
10/13/2016,Kansas City,W 3 - 2,5,,69,37,195,0.164,62,6,7,86,5,4,12,2,85.0,2,
10/15/2016,Chicago St.,W 3 - 0,3,,49,21,124,0.226,40,5,8,45,1,2,4,1,58.0,3,
10/16/2016,@ New Mexico,L 1 - 3,4,,57,31,138,0.188,54,3,16,48,6,,16,3,68.0,3,
10/20/2016,@ Utah Valley,W 3 - 2,5,,72,38,197,0.173,69,12/,8,88,6,,12,3,90.0,2,
10/22/2016,@ Seattle U,W 3 - 0,3,,46,14,97,0.330,39,7,7,41,2,2,6,1,58.0,1,
10/27/2016,Grand Canyon,W 3 - 0,3,,50,16,111,0.306,47,7,9,39,1,1,12,3,64.0,1,
10/29/2016,CSU Bakersfield,L 1 - 3,4,,42,32,144,0.069,38,8,3,65,4,,18,1,59.0,1,
11/05/2016,@ UTRGV,W 3 - 2,5,,78,31,194,0.242,75,5,10,90,4,2,8,6,89.0,1,
11/10/2016,@ Chicago St.,W 3 - 2,5,,74,33,171,0.240,63,6,12,64,4,4,22,,95.0,,
11/12/2016,@ Kansas City,W 3 - 0,3,,51,15,127,0.283,46,3,8,54,3,1,15,1,62.5,1,
11/18/2016,UTRGV,L 1 - 3,4,,56,30,156,0.167,51,8,9,57,7,1,12,3,71.0,,
11/23/2016,@ UTEP,W 3 - 2,5,,60,41,197,0.096,55,9,7,86,2,7,10,2,81.0,,
