Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"Marquette @ Provo, Utah",L 0 - 3,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8302019,@ BYU,L 0 - 3,3.0,3.5,0.5,6.0,0.25,0.5,0.0,0.0,0.5,0.5,0.0,1.5,0.0,4.25
8312019,"Boise St. @ Provo, UT",L 1 - 3,4.0,4.666666666666667,1.6666666666666667,12.666666666666666,0.205,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,2.0,0.3333333333333333,6.0
9032019,@ Idaho St.,L 1 - 3,4.0,4.75,2.75,16.25,0.1445,0.75,0.25,0.75,2.5,0.5,0.0,1.75,0.25,5.875
9062019,Portland St.,W 3 - 2,5.0,6.6,3.8,21.2,0.14479999999999998,0.6,0.6,1.0,3.2,0.8,0.0,2.2,0.2,8.3
9062019,UC Davis,W 3 - 0,3.0,6.5,3.8333333333333335,21.166666666666668,0.13649999999999998,0.6666666666666666,0.6666666666666666,1.1666666666666667,3.5,0.8333333333333334,0.0,2.0,0.16666666666666666,8.166666666666666
9072019,Utah,L 0 - 3,3.0,6.571428571428571,4.142857142857143,21.0,0.12414285714285714,0.5714285714285714,0.8571428571428571,1.1428571428571428,3.4285714285714284,0.8571428571428571,0.14285714285714285,2.2857142857142856,0.14285714285714285,8.714285714285714
9122019,"UCLA @ Honolulu, HI",L 0 - 3,2.0,6.25,4.0,20.5,0.11599999999999999,0.5,0.75,1.25,3.25,0.75,0.125,2.0,0.125,8.125
9132019,@ Hawaii,L 1 - 3,4.0,6.888888888888889,4.0,22.22222222222222,0.12777777777777777,0.5555555555555556,0.6666666666666666,1.1111111111111112,4.0,1.1111111111111112,0.2222222222222222,1.8888888888888888,0.1111111111111111,8.722222222222221
9142019,"West Virginia @ Honolulu, HI",L 0 - 3,3.0,6.9,3.9,21.6,0.13999999999999999,0.5,0.6,1.2,4.3,1.2,0.2,1.7,0.1,8.55
9182019,@ Utah St.,W 3 - 0,3.0,7.9,4.6,24.0,0.1525,0.4,0.7,1.3,4.8,1.1,0.2,1.8,0.1,9.7
9192019,Weber St.,L 1 - 3,4.0,8.2,5.0,26.5,0.11599999999999999,0.4,0.7,1.4,5.7,1.2,0.2,1.5,0.1,9.85
9262019,New Mexico St.,L 1 - 3,4.0,8.6,5.0,27.1,0.1264,0.4,0.6,1.3,6.0,1.2,0.2,1.3,0.0,10.05
9282019,UTRGV,W 3 - 2,2.0,8.3,4.7,25.3,0.119,0.2,0.7,1.2,5.8,1.5,0.2,1.4,0.1,9.9
10032019,@ CSU Bakersfield,W 3 - 0,3.0,7.7,4.0,22.8,0.1482,0.2,0.5,1.1,5.2,1.3,0.2,1.1,0.1,8.95
10052019,@ Grand Canyon,W 3 - 1,0.0,7.1,3.6,20.7,0.1387,0.1,0.4,0.9,4.7,1.2,0.2,1.0,0.1,8.2
10102019,Kansas City,L 2 - 3,4.0,6.7,3.8,21.5,0.11579999999999999,0.1,0.2,0.9,4.8,1.2,0.1,0.6,0.2,7.3
10122019,California Baptist,L 2 - 3,5.0,7.5,4.3,22.8,0.1232,0.3,0.3,0.8,5.8,1.2,0.1,0.7,0.2,8.25
10142019,Chicago St.,W 3 - 0,3.0,6.6,4.1,20.3,0.1101,0.3,0.4,1.0,5.2,0.9,0.0,0.6,0.2,7.3
10192019,Seattle U,W 3 - 0,3.0,6.1,4.1,20.2,0.0784,0.5,0.5,1.1,4.7,0.9,0.0,0.7,0.2,6.95
10242019,@ New Mexico St.,L 1 - 3,0.0,5.1,3.4,17.8,0.0659,0.5,0.4,1.0,4.1,0.9,0.0,0.6,0.2,5.8
10282019,@ UTRGV,L 2 - 3,5.0,5.1,3.5,17.3,0.0649,0.6,0.4,1.2,3.5,1.0,0.0,0.8,0.2,5.9
10312019,CSU Bakersfield,W 3 - 1,4.0,5.5,3.7,18.6,0.063,0.7,0.4,1.4,3.5,1.3,0.0,0.8,0.2,6.3
11022019,Grand Canyon,L 0 - 3,3.0,5.8,3.8,20.0,0.0784,0.8,0.3,1.4,3.5,0.9,0.0,0.6,0.1,6.4
11072019,@ Kansas City,L 1 - 3,4.0,5.7,3.9,21.0,0.0538,0.9,0.4,1.7,3.9,1.1,0.0,0.6,0.1,6.4
11092019,@ Chicago St.,L 2 - 3,0.0,5.7,3.9,21.0,0.0538,0.9,0.4,1.7,3.9,1.1,0.0,0.6,0.1,6.4
11142019,@ Seattle U,W 3 - 1,0.0,5.4,3.1,18.2,0.07170000000000001,0.9,0.4,1.6,3.5,1.0,0.0,0.6,0.0,6.1
11162019,@ California Baptist,L 1 - 3,3.0,4.4,2.3,15.8,0.0917,0.7,0.3,1.7,3.3,1.3,0.0,0.7,0.0,5.05
11212019,UTRGV,W 3 - 0,3.0,4.4,2.3,15.9,0.09090000000000001,0.6,0.2,1.6,3.2,1.2,0.0,0.8,0.0,5.0
11222019,@ New Mexico St.,L 0 - 3,3.0,4.8,2.3,16.3,0.11339999999999999,0.5,0.2,1.3,3.3,1.1,0.0,1.0,0.0,5.5
