Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08302019,"South Carolina @ Pittsburgh, Pa.",W 3 - 1,4,20,6,56,0.25,3,2,2,18,0,1,3,0,24.5
08302019,@ Pittsburgh,L 0 - 3,3,9,3,24,0.25,0,2,0,6,1,0,1,0,11.5
08312019,"Cleveland St. @ Pittsburgh, Pa.",W 3 - 0,3,18,4,39,0.359,1,3,0,8,0,0,2,0,22.0
09062019,"Tennessee @ East Lansing, MI",W 3 - 0,3,26,6,48,0.41700000000000004,1,0,0,5,0,0,0,0,26.0
09062019,@ Michigan St.,L 1 - 3,4,17,9,49,0.163,0,2,4,8,0,1,0,0,20.0
09072019,"Indiana St. @ East Lansing, MI",W 3 - 0,3,10,1,22,0.409,4,1,1,14,0,0,3,0,12.5
09132019,"Notre Dame @ Highland Heights, KY",W 3 - 1,4,18,4,45,0.311,1,1,1,7,0,0,3,1,20.5
09142019,"Ball St. @ Highland Heights, KY",W 3 - 2,5,27,8,62,0.306,0,1,0,12,0,0,3,0,29.5
09142019,@ Northern Ky.,L 2 - 3,5,35,7,79,0.354,0,1,1,14,1,0,1,0,36.5
09192019,@ Xavier,W 3 - 0,3,22,6,43,0.37200000000000005,0,1,2,11,0,0,1,0,23.5
09212019,Bowling Green,W 3 - 0,3,21,1,44,0.455,2,3,0,10,0,0,0,1,24.0
09222019,Louisville,L 2 - 3,5,41,10,79,0.392,2,1,4,9,0,0,0,0,42.0
09272019,East Carolina,W 3 - 0,3,16,5,37,0.297,1,2,0,10,0,0,1,0,18.5
09292019,@ Wichita St.,W 3 - 0,3,18,3,35,0.429,1,1,1,6,0,0,0,0,19.0
10042019,UCF,W 3 - 0,3,28,6,47,0.46799999999999997,1,2,2,13,2,0,1,0,30.5
10062019,South Fla.,W 3 - 1,4,37,8,67,0.433,0,1,0,10,0,0,2,0,39.0
10112019,@ UConn,W 3 - 0,3,15,2,30,0.433,0,1,3,8,0,0,0,0,16.0
10132019,@ Temple,W 3 - 0,3,19,4,40,0.375,0,1,0,10,0,0,1,0,20.5
10182019,@ Tulane,L 0 - 3,3,8,6,30,0.067,0,5,1,12,1,0,1,0,13.5
10202019,@ Houston,W 3 - 2,5,37,18,86,0.221,1,1,3,9,1,1,2,0,40.0
10252019,Memphis,W 3 - 0,3,17,3,29,0.483,0,1,1,9,1,0,3,0,19.5
10272019,SMU,W 3 - 0,3,28,4,51,0.47100000000000003,0,2,2,8,1,0,2,0,31.0
10302019,Dayton,W 3 - 1,4,23,6,53,0.321,2,2,3,11,0,0,1,0,25.5
11012019,Temple,W 3 - 0,3,15,1,32,0.43799999999999994,1,0,1,11,0,1,0,0,16.0
11032019,UConn,W 3 - 2,5,50,6,83,0.53,0,1,1,11,1,0,0,0,51.0
11082019,@ South Fla.,W 3 - 0,3,21,6,42,0.35700000000000004,1,0,1,8,0,0,1,0,21.5
11102019,@ UCF,W 3 - 1,4,19,11,52,0.154,0,4,2,14,1,0,1,0,23.5
11152019,@ East Carolina,W 3 - 0,3,18,4,34,0.41200000000000003,1,0,2,2,0,1,0,0,19.0
11172019,Tulsa,W 3 - 0,3,18,4,43,0.326,3,1,0,9,0,0,1,2,19.5
11232019,"Tulane @ Orlando, FL",W 3 - 0,3,25,6,48,0.396,1,2,1,7,0,0,0,0,27.0
11242019,"UCF @ Orlando, FL",L 2 - 3,5,38,14,98,0.245,1,2,0,20,2,0,0,1,40.0
12062019,"VCU @ Pittsburgh, Pa.",W 3 - 1,4,27,8,67,0.284,1,1,1,10,0,0,2,1,29.0
12072019,@ Pittsburgh,W 3 - 2,5,27,8,70,0.271,1,0,2,6,3,0,2,1,28.0
12132019,"Penn St. @ Stanford, Calif.",L 2 - 3,5,30,10,71,0.282,2,0,1,3,0,0,0,0,30.0
