0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/30/2019,"ULM @ New Orleans, LA",L 0 - 3,3,1,,6,2,12,0.333,2,,,2,,,1,1,6.5,1,
08/30/2019,"North Dakota @ New Orleans, LA",L 1 - 3,4,1,,4,1,14,0.214,,,,,,,4,1,6.0,,
08/31/2019,@ New Orleans,L 0 - 3,3,1,,4,0,9,0.444,,,,2,,,2,1,5.0,,
09/06/2019,"UT Martin @ Memphis, TN",L 1 - 3,4,1,,3,3,12,0.000,,,,,,,1,1,3.5,,
09/06/2019,@ Memphis,L 0 - 3,3,1,,1,0,5,0.200,,,,,,,,2,1.0,,
09/07/2019,"Gardner-Webb @ Memphis, TN",L 0 - 3,3,1,,2,5,18,-0.167,,,,2,,,5,1,4.5,,
09/10/2019,@ Arkansas,L 1 - 3,4,1,,0,0,0,,,1,,1,,,1,,1.5,,
09/13/2019,"Rice @ Jonesboro, Ark.",L 0 - 3,3,1,,0,0,1,,,,,,,1,,,1.0,,
09/13/2019,"SFA @ Jonesboro, AR",L 0 - 3,2,1,,0,0,1,0.000,,,,,,,,1,,,
09/14/2019,@ Arkansas St.,L 0 - 3,3,1,,2,0,7,0.286,1,,,2,,3,,,5.0,,
09/20/2019,@ Tennessee St.,L 1 - 3,4,1,,2,0,8,0.250,,,,2,,,1,,2.5,,
09/22/2019,@ Middle Tenn.,L 0 - 3,2,1,,0,1,2,-0.500,,,,,,,,,,,
09/27/2019,"Alabama A&M @ Prairie View, TX",L 1 - 3,4,1,,4,2,10,0.200,,,,,,1,,,5.0,,
09/27/2019,"Alabama St. @ Prairie View, TX",W 3 - 0,3,1,,4,0,9,0.444,,,,1,,1,2,1,6.0,,
09/28/2019,"Mississippi Val. @ Prairie View, TX",W 3 - 0,3,1,,7,1,11,0.545,,,,1,,,1,,7.5,,
09/28/2019,"Jackson St. @ Prairie View, TX",L 2 - 3,5,1,,6,3,18,0.167,,,,,,2,2,,9.0,,
09/29/2019,"Alcorn @ Prairie View, TX",L 1 - 3,4,1,,5,6,19,-0.053,,,,,,,6,,8.0,1,
10/03/2019,Fisk,W 3 - 0,1,1,,0,0,0,,,,,,,,,,,,
10/03/2019,Fisk,W 3 - 0,3,1,,4,1,7,0.429,1,,,,,,,,4.0,,
10/10/2019,Southern U.,L 2 - 3,,,,,,,,,,,,,,,,,,
10/13/2019,@ Prairie View,L 0 - 3,,,,,,,,,,,,,,,,,,
10/14/2019,@ Texas Southern,L 2 - 3,3,1,,3,0,3,1.000,,,,1,1,,,,3.0,,
10/17/2019,Grambling,W 3 - 2,5,1,,6,2,13,0.308,,2,2,3,,,2,,9.0,,
10/25/2019,"Alabama A&M @ Jackson, MS",L 0 - 3,1,1,,2,1,3,0.333,,,,,,,,,2.0,,
10/25/2019,"Alabama St. @ Jackson, MS",L 1 - 3,4,1,,1,2,8,-0.125,,,,2,,,1,,1.5,,
10/26/2019,"Mississippi Val. @ Jackson, MS",W 3 - 1,,,,,,,,,,,,,,,,,,
10/26/2019,@ Jackson St.,L 2 - 3,1,1,,1,0,1,1.000,,,,,,,,,1.0,,
10/27/2019,"Alcorn @ Jackson, MS",W 3 - 0,1,1,,1,2,4,-0.250,,,,,,,,,1.0,,
11/01/2019,@ Southern Miss.,L 1 - 3,3,1,,0,1,4,-0.250,,,,,,,,,,,
11/07/2019,@ Southern U.,W 3 - 1,1,1,,0,0,0,,,,,1,,,,,,,
11/10/2019,Prairie View,L 1 - 3,1,1,,0,0,1,0.000,,,,,,,,,,,
11/11/2019,Texas Southern,W 3 - 1,,,,,,,,,,,,,,,,,,
11/14/2019,@ Grambling,W 3 - 0,,,,,,,,,,,,,,,,,,
11/22/2019,@ Prairie View,L 0 - 3,,,,,,,,,,,,,,,,,,
