0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,Utah Valley,W 3 - 0,,,,,,,,,,,,,,,,,
08/27/2016,Rice,W 3 - 2,3,1,0,1,3,-0.333,1,,,10,,,,,,1,
08/27/2016,Cal Poly,W 3 - 0,3,1,0,0,2,,,,,4,,,,,,1,
09/02/2016,"Wyoming @ Columbus, Ohio",W 3 - 0,3,1,0,0,0,,,,,2,2,,,,,,
09/02/2016,"LIU @ Columbus, Ohio",W 3 - 0,3,1,0,0,0,,,,,3,2,,,,,,
09/03/2016,@ Ohio St.,W 3 - 2,5,1,0,0,2,,1,,,10,,,,,,,
09/09/2016,"Boise St. @ Pocatello, Idaho",W 3 - 0,3,1,0,0,0,,,,,4,2,,,,,,
09/10/2016,@ Idaho St.,W 3 - 0,3,1,0,0,1,,2,,,,,,,,,,
09/10/2016,"Missouri @ Pocatello, Idaho",W 3 - 0,3,1,1,0,3,0.333,2,3,1,10,,,,,4.0,,
09/15/2016,Utah,L 2 - 3,5,1,0,0,1,,1,,,4,,,,,,,
09/16/2016,CSUN,W 3 - 0,3,1,2,0,4,0.500,,,,3,,,,,2.0,,
09/17/2016,UNLV,W 3 - 0,3,1,1,0,1,1.000,,,1,3,2,,,,1.0,,
09/22/2016,Santa Clara,W 3 - 0,2,1,0,0,0,,,,1,3,,,,,,,
09/24/2016,San Francisco,W 3 - 0,1,1,1,0,1,1.000,,,,,,,,,1.0,,
09/27/2016,@ Pepperdine,W 3 - 1,3,1,1,0,1,1.000,1,1,,6,1,,,,2.0,,
09/30/2016,@ San Diego,L 0 - 3,3,1,6,0,8,0.750,,,1,3,3,,,,6.0,,
10/06/2016,Saint Mary's (CA),W 3 - 0,3,1,5,0,10,0.500,2,2,1,5,1,1,,,8.0,,
10/08/2016,Pacific,W 3 - 0,3,1,3,0,11,0.273,1,1,1,6,1,,4,,6.0,,
10/13/2016,@ Portland,L 2 - 3,4,1,2,0,14,0.143,1,,1,4,2,1,3,1,4.5,,
10/15/2016,@ Gonzaga,W 3 - 0,,,,,,,,,,,,,,,,,
10/20/2016,Pepperdine,W 3 - 0,,,,,,,,,,,,,,,,,
10/22/2016,LMU (CA),W 3 - 2,,,,,,,,,,,,,,,,,
10/28/2016,San Diego,W 3 - 0,,,,,,,,,,,,,,,,,
11/03/2016,@ Pacific,W 3 - 0,,,,,,,,,,,,,,,,,
11/05/2016,@ Saint Mary's (CA),W 3 - 0,2,1,0,0,1,,1,,,3,,,,,,,
11/10/2016,Gonzaga,W 3 - 1,,,,,,,,,,,,,,,,,
11/12/2016,Portland,W 3 - 0,,,,,,,,,,,,,,,,,
11/17/2016,@ San Francisco,W 3 - 1,1,1,0,0,0,,,,,4,,,,,,,
11/19/2016,@ Santa Clara,W 3 - 1,,,,,,,,,,,,,,,,,
11/22/2016,@ LMU (CA),W 3 - 2,4,1,4,3,11,0.091,,,1,2,2,,,,4.0,,
12/02/2016,Princeton,W 3 - 0,1,1,0,0,0,,,,,1,,,,,,,
12/03/2016,UNLV,W 3 - 0,3,1,7,3,16,0.250,,,,,,,1,1,7.5,,
12/09/2016,@ Texas,L 2 - 3,,,,,,,,,,,,,,,,,
