Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,"Southern Ill. @ Indianapolis, Ind.",L 0 - 3,3.0,3,4,21,-0.048,0,0,0,3,0,1,0,0,4.0
08272016,@ IUPUI,L 0 - 3,3.0,5,1,17,0.235,0,0,0,0,0,0,1,0,5.5
08272016,"Duquesne @ Indianapolis, IN",W 3 - 0,3.0,9,4,24,0.20800000000000002,0,0,0,0,0,0,3,2,10.5
09032016,"Florida @ East Lansing, Mich.",L 0 - 3,3.0,3,3,16,0.0,0,0,0,0,0,0,0,0,3.0
09032016,@ Michigan St.,L 0 - 3,3.0,4,1,13,0.231,0,0,0,0,0,0,1,0,4.5
09042016,"Morgan St. @ East Lansing, Mich.",W 3 - 1,2.0,5,0,17,0.294,0,0,0,2,0,0,0,0,5.0
09092016,@ Valparaiso,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09092016,"South Dakota St. @ Valparaiso, Ind.",W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09102016,"Southeast Mo. St. @ Valparaiso, Ind.",W 3 - 1,1.0,2,2,7,0.0,0,0,0,0,0,0,0,0,2.0
09162016,"Central Ark. @ Orlando, Fla.",L 0 - 3,2.0,2,3,5,-0.2,1,0,0,0,0,0,0,0,2.0
09162016,"UNC Asheville @ Orlando, Fla.",W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09172016,@ UCF,L 2 - 3,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09232016,@ Ball St.,L 2 - 3,2.0,1,1,8,0.0,0,0,0,1,0,0,1,0,1.5
09242016,@ Toledo,L 0 - 3,1.0,0,3,3,-1.0,0,0,0,0,0,0,0,1,0.0
09302016,Northern Ill.,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10022016,Western Mich.,W 3 - 2,1.0,0,2,7,-0.28600000000000003,0,0,0,0,0,0,1,0,0.5
10062016,Eastern Mich.,W 3 - 2,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10082016,@ Kent St.,L 0 - 3,1.0,0,2,3,-0.667,1,0,0,0,0,0,1,0,0.5
10142016,Miami (OH),L 0 - 3,3.0,10,3,20,0.35,0,0,0,3,0,0,0,0,10.0
10152016,Bowling Green,L 0 - 3,2.0,1,2,10,-0.1,0,0,0,3,0,0,0,0,1.0
10212016,@ Buffalo,W 3 - 2,5.0,10,2,22,0.364,0,0,0,1,1,0,1,0,10.5
10222016,@ Akron,L 2 - 3,5.0,8,1,19,0.368,0,0,0,3,0,0,6,0,11.0
10272016,Toledo,L 0 - 3,3.0,3,2,11,0.091,1,0,0,1,0,0,0,0,3.0
10292016,Ball St.,L 2 - 3,5.0,7,4,18,0.16699999999999998,0,0,0,1,0,1,0,0,8.0
11042016,@ Western Mich.,L 0 - 3,3.0,1,3,10,-0.2,0,0,0,0,0,0,0,0,1.0
11052016,@ Northern Ill.,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11102016,@ Eastern Mich.,W 3 - 2,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11122016,Ohio,W 3 - 2,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
